FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois un roi qui avait trois fils:,,,,,,1,,
"deux qui étaient intelligents et avisés,",,,,,,2,,
"tandis que le troisième ne parlait guère et était sot,",,,,,,3,,
si bien qu'on l'appelait le Bêta.,,,,,,4,,
"Lorsque le roi devint vieux et qu'il sentit ses forces décliner,",,,,,,5,,
il se mit à songer à sa fin prochaine,,,,,,6,,
et ne sut pas auquel de ses fils,,,,,,7,,
il devait laisser le royaume en héritage.,,,,,,8,,
Alors il leur dit:,,,,,,9,,
"Partez, et celui qui me rapportera le tapis",,,,,,10,,
le plus beau sera roi après ma mort.,,,,,,11,,
"Afin qu'il n'y ait pas de dispute entre eux,",,,,,,12,,
il les conduisit devant son château,,,,,,13,,
et souffla trois plumes en l'air en disant:,,,,,,14,,
"Là où elles voleront,",,,,,,15,,
telle sera votre direction.,,,,,,16,,
"L'une des plumes s'envola vers l'ouest,",,,,,,17,,
"l'autre vers l'est,",,,,,,18,,
"quant à la troisième elle voltigea tout droit à faible distance,",,,,,,19,,
puis retomba bientôt par terre.,,,,,,20,,
"Alors, l'un des frères partit à droite,",,,,,,21,,
"l'autre à gauche,",,,,,,22,,
tout en se moquant du Bêta,,,,,,23,,
qui dut rester près de la troisième plume,,,,,,24,,
qui était tombée tout près de lui.,,,,,,25,,
Le Bêta s'assit par terre,,,,,,26,,
et il était bien triste.,,,,,,27,,
C'est alors qu'il remarqua tout à coup,,,,,,28,,
qu'une trappe se trouvait à côté de la plume.,,,,,,29,,
Il leva la trappe et,,,,,,30,,
aperçut un escalier qu'il se mit à descendre.,,,,,,31,,
"Il arriva devant une porte,",,,,,,32,,
frappe et entendit crier à l'intérieur:,,,,,,33,,
"Petite demoiselle verte,",,,,,,34,,
"Cuisse tendue,",,,,,,35,,
"Et patte de lièvre,",,,,,,36,,
"Bondis et rebondis,",,,,,,37,,
Va vite voir qui est dehors.,,,,,,38,,
La porte s'ouvrit et,,,,,,39,,
"il vit une grosse grenouille grasse assise là,",,,,,,40,,
entourée d'une foule de petites grenouilles.,,,,,,41,,
La grosse grenouille lui demanda quel était son désir.,,,,,,42,,
"J'aimerais avoir le plus beau et le plus ouvragé des tapis, répondit-il.",,,,,,43,,
Alors elle appela une jeune grenouille à qui elle dit:,,,,,,44,,
"Petite demoiselle verte,",,,,,,45,,
"Cuisse tendue,",,,,,,46,,
"Et patte de lièvre,",,,,,,47,,
"Bondis et rebondis,",,,,,,48,,
Va vite voir qui est dehors.,,,,,,49,,
"La jeune grenouille alla chercher la boîte et la grosse grenouille l'ouvrit,",,,,,,50,,
"y prit un tapis qu'elle donna au Bêta,",,,,,,51,,
"et ce tapis était si beau,",,,,,,52,,
"si ouvragé qu'on n'en pouvait tisser de pareil sur la terre, là-haut.",,,,,,53,,
Alors il remercia la grenouille et remonta l'escalier.,,,,,,54,,
Cependant les deux autres frères estimaient leur cadet,,,,,,55,,
tellement sot qu'ils crurent qu'il ne trouverait absolument rien à rapporter.,,,,,,56,,
Pourquoi nous fatiguer à Chercher? se dirent-il et,,,,,,57,,
la première bergère qu'il rencontrèrent fit l'affaire:,,,,,,58,,
ils lui ôtèrent son châle de toile grossière et,,,,,,59,,
revinrent le porter au roi.,,,,,,60,,
"Au même moment le Bêta rentra lui aussi,",,,,,,61,,
apportant son tapis magnifique.,,,,,,62,,
"En le voyant, le roi fut étonné et dit:",,,,,,63,,
"S'il faut s'en remettre à la justice,",,,,,,64,,
le royaume appartient au cadet.,,,,,,65,,
"Mais les deux autres ne laissèrent point de repos à leur père,",,,,,,66,,
"lui disant qu'il était impossible que le Bêta,",,,,,,67,,
"à qui la raison faisait défaut dans tous les domaines,",,,,,,68,,
devînt le roi;,,,,,,69,,
ils le prièrent donc de bien vouloir fixer une autres condition.,,,,,,70,,
Alors le roi déclara: Celui qui me rapportera la plus belle bague héritera du royaume.,,,,,,71,,
Il sortit avec ses trois fils et souffla les trois plumes qui devaient leur indiquer la route à suivre.,,,,,,72,,
"Comme la première fois,",,,,,,73,,
"les deux aînés partirent l'un vers l'est et l'autre vers l'ouest,",,,,,,74,,
mais la plume du Bêta s'envola tout droit et tomba à côté de la trappe.,,,,,,75,,
"Alors, il descendit de nouveau voir la grosse grenouille et lui dit qu'il avait besoin d'une très belle bague. La grenouille se fit aussitôt apporter la grande boîte,",,,,,,76,,
"y prit une bague qu'elle donna au Bêta,",,,,,,77,,
"et cette bague, toute étincelante de pierres précieuses,",,,,,,78,,
était si belle que nul orfèvre sur la terre n'en aurait pu faire de pareille.,,,,,,79,,
"Les eux aînés, se moquant du Bêta",,,,,,80,,
"qui allait sans doute chercher un anneau d'or,",,,,,,81,,
"ne se donnèrent aucune peine,",,,,,,82,,
ils dévissèrent les crochets d'une vieille roue de charrette et,,,,,,83,,
chacun apporta le sien au roi.,,,,,,84,,
"Aussi, lorsque le Bêta montra sa bague d'or,",,,,,,85,,
le père déclara de nouveau:,,,,,,86,,
C'est à lui que revient le royaume.,,,,,,87,,
Les deux aînés ne cessèrent de harceler leur père,,,,,,88,,
pour qu'il posât encore une troisième condition:,,,,,,89,,
celui-ci décida donc que celui qui ramènerait la plus belle femme aurait le royaume.,,,,,,90,,
Il souffla une fois encore sur les trois plumes qui s'envolèrent comme les fois précédentes.,,,,,,91,,
"Alors, sans plus se soucier,",,,,,,92,,
le Bêta alla trouver la grosse grenouille et lui dit:,,,,,,93,,
Il me faut ramener au château la plus belle femme.,,,,,,94,,
"Hé, la plus belle femme! répondit la grenouille.",,,,,,95,,
Voilà une chose qu'on n'a pas immédiatement à sa portée mais,,,,,,96,,
tu l'auras tout de même.,,,,,,97,,
Elle lui donna une carotte évidée et creuse à laquelle six petites souris étaient attelées.,,,,,,98,,
Que dois-je faire de cela? dit le Bêta tout triste.,,,,,,99,,
"Tu n'as qu'à y installer une de mes petites grenouilles, répondit-elle.",,,,,,100,,
"Il en attrapa une au hasard dans le cercle de celles qui entouraient la grosse grenouille,",,,,,,101,,
"la mit dans la carotte,",,,,,,102,,
"et voilà qu'à peine assise à l'intérieur,",,,,,,103,,
"la petite grenouille devint une demoiselle merveilleusement belle,",,,,,,104,,
la carotte un vrai carrosse et les six petites souris des chevaux.,,,,,,105,,
"Alors le Bêta embrasse la jeune fille,",,,,,,106,,
se fit emporter au galop de ses six chevaux et amena le belle chez le roi.,,,,,,107,,
Ses frères arrivèrent ensuite:,,,,,,108,,
ils ne s'étaient donné aucune peine pour chercher une belle femme et,,,,,,109,,
ramenèrent les deux premières paysannes venues.,,,,,,110,,
Lorsqu'il les vit le roi déclara:,,,,,,111,,
C'est au cadet que le royaume appartiendra après ma mort.,,,,,,112,,
Alors les deux aînés se mirent de nouveau à rebattre les oreilles du roi de la même protestation:,,,,,,113,,
"Nous ne pouvons pas admettre que le Bêta devienne roi, et",,,,,,114,,
ils demandèrent à ce que ce privilège revienne à celui dont la femme arriverait à sauter à travers un anneau qui,,,,,,115,,
était suspendu au milieu de la grande salle.,,,,,,116,,
"Nos paysannes en seront bien capables, se dirent-ils,",,,,,,117,,
"elles sont assez fortes, par contre la délicate demoiselle va se tuer en sautant.",,,,,,118,,
Le vieux roi céda encore une fois à leur prière.,,,,,,119,,
"Les deux paysannes prirent leur élan et certes elles sautèrent à travers l'anneau,",,,,,,120,,
mais elles étaient si lourdes qu'en retombant elles se brisèrent bras et jambes.,,,,,,121,,
"Ce fut alors le tour de la belle demoiselle que le Bêta avait ramenée,",,,,,,122,,
et elle traversa l'anneau d'un bond aussi légèrement qu'une biche:,,,,,,123,,
cela fit définitivement cesser toute opposition.,,,,,,124,,
C'est ainsi que le Bêta reçut la couronne et que longtemps il régna en sage.,,,,,,125,,
