FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois un homme qui avait trois fils.,,,,,,1,,"Once upon a time, there was a man who had three sons."
Le plus jeune avait été surnommé le Bêta,,,,,,2,,The youngest had been nicknamed the Beta
était la risée de tout le monde.,,,,,,3,,was a laughingstock.
Ses frères le prenaient de haut,,,,,,4,,His brothers looked down on him
se moquaient de lui à chaque occasion.,,,,,,5,,made fun of him at every opportunity.
"Un jour, le fils aîné s'apprêta à aller dans la forêt pour abattre des arbres.",,,,,,6,,"One day, the eldest son was about to go into the forest to cut down some trees."
"Avant qu'il ne parte,",,,,,,7,,"Before he left,"
sa mère lui prépara une délicieuse galette aux oeufs,,,,,,8,,his mother prepared a delicious egg cake for him.
ajouta une bouteille de vin pour qu'il ne souffre ni de faim ni de soif.,,,,,,9,,added a bottle of wine so he wouldn't go hungry or thirsty.
"Lorsqu'il arriva dans la forêt,",,,,,,10,,"When he reached the forest,"
il y rencontra un vieux gnome gris.,,,,,,11,,he met an old gray gnome.
"Celui-ci le salua,",,,,,,12,,"The latter greeted him,"
lui souhaita une bonne journée et dit:,,,,,,13,,wished him a good day and said:
Donne-moi un morceau de gâteau,,,,,,14,,Give me a piece of cake
donne-moi à boire de ton vin.,,,,,,15,,give me a drink of your wine.
"Mais le fils, qui était malin, lui répondit:",,,,,,16,,But the clever son replied:
Si je te donne de mon gâteau,,,,,,17,,If I give you some of my cake
"te laisse boire de mon vin,",,,,,,18,,"let you drink some of my wine,"
il ne me restera plus rien.,,,,,,19,,I'll have nothing left.
Passe ton chemin.,,,,,,20,,On your way.
"Il laissa le bonhomme là où il était,",,,,,,21,,"He left the man where he was,"
il s'en alla.,,,,,,22,,he left.
"Il choisit un arbre et commença à couper ses branches,",,,,,,23,,"He chose a tree and began to cut its branches,"
mais très vite il s'entailla le bras avec la hache.,,,,,,24,,but he soon slashed his arm with the axe.
Il se dépêcha de rentrer à la maison pour se faire soigner.,,,,,,25,,He hurried home for treatment.
"Ce qui était arrivé n'était pas le fait du hasard,",,,,,,26,,"What had happened was no accident,"
c'était l'oeuvre du petit homme.,,,,,,27,,it was the little man's work.
"Un autre jour, le deuxième fils partit dans la forêt.",,,,,,28,,"Another day, the second son set off into the forest."
Lui aussi avait reçu de sa mère une galette et une bouteille de vin.,,,,,,29,,He too had received a wafer and a bottle of wine from his mother.
Lui aussi rencontra le petit homme gris,,,,,,30,,He too met the little grey man
il lui demanda un morceau de gâteau et une gorgée de vin.,,,,,,31,,he asked her for a piece of cake and a sip of wine.
Mais le deuxième fils répondit d'une manière aussi désinvolte que son frère aîné:,,,,,,32,,But the second son answered as casually as his elder brother:
"Si je t'en donne, j'en aurai moins. Passe ton chemin.",,,,,,33,,"If I give you some, I'll have less. On your way."
Il planta le petit homme là et s'en alla. La punition ne se fit pas attendre. ,,,,,,34,,He planted the little man there and walked away. The punishment was swift.
Il brandit sa hache trois ou quatre fois et son tranchant le blessa à la jambe.,,,,,,35,,He swung his axe three or four times and its cutting edge wounded him in the leg.
"Peu de temps après, le Bêta dit:",,,,,,36,,"Shortly afterwards, the Beta said:"
"Papa, laisse-moi aller dans la forêt.",,,,,,37,,"Dad, let me go into the forest."
Moi aussi je voudrais abattre des arbres.,,,,,,38,,I'd like to cut down some trees too.
"Pas question, répondit le père.",,,,,,39,,"No way,"" replied the father."
"Maladroit comme tu es, tu n'iras nulle part.",,,,,,40,,"Clumsy as you are, you're not going anywhere."
Mais le Bêta insista et son père finit par céder:,,,,,,41,,But the Beta insisted and his father finally gave in:
"Vas-y, mais s'il t'arrive quelque chose,",,,,,,42,,"Go ahead, but if anything happens to you,"
tu recevras une belle correction.,,,,,,43,,you'll get a good beating.
Sa mère lui donna une galette faite d'une pâte préparée à l'eau ,,,,,,44,,His mother gave him a wafer made from a dough prepared with water.
cuite dans les cendres et une bouteille de bière aigre.,,,,,,45,,and a bottle of sour beer.
Le Bêta arriva dans la forêt,,,,,,46,,The Beta arrived in the forest
"il y rencontra le gnome vieux et gris,",,,,,,47,,"he met the old, grey gnome,"
il le salua et dit:,,,,,,48,,he greeted him and said:
Donne-moi un morceau de ton gâteau,,,,,,49,,Give me a piece of your cake
laisse-moi boire de ton vin.,,,,,,50,,let me drink some of your wine.
J'ai faim et soif.,,,,,,51,,I'm hungry and thirsty.
Je n'ai qu'une galette sèche,,,,,,52,,All I have is a dry wafer
"de la bière aigre, répondit le Bêta,",,,,,,53,,"sour beer,"" replied the Beta,"
"mais si cela te suffit,",,,,,,54,,"but if that's enough for you,"
asseyons-nous et mangeons.,,,,,,55,,let's sit down and eat.
Ils s'assirent,,,,,,56,,They sat down
le Bêta sortit sa galette qui soudain se transforma en un somptueux gâteau,,,,,,57,,"the Beta took out his wafer, which was suddenly transformed into a sumptuous cake."
il trouva du bon vin à la place de la bière aigre.,,,,,,58,,he found good wine instead of sour beer.
"Ils mangèrent et burent, puis le vieux bonhomme dit:",,,,,,59,,"They ate and drank, and then the old man said:"
"Tu as bon coeur et tu aimes partager avec les autres,",,,,,,60,,"You have a good heart and like to share with others,"
c'est pourquoi je vais te faire un cadeau.,,,,,,61,,which is why I'm going to give you a present.
"Regarde le vieil arbre, là-bas.",,,,,,62,,Look at the old tree over there.
"Si tu l'abats, tu trouveras quelque chose dans ses racines.",,,,,,63,,"If you cut it down, you'll find something in its roots."
Le gnome le salua et disparut.,,,,,,64,,The gnome greeted him and disappeared.
Le Bêta s'approcha de l'arbre et l'abattit.,,,,,,65,,The Beta approached the tree and felled it.
L'arbre tomba et le Bêta aperçut entre ses racines une oie aux plumes d'or.,,,,,,66,,The tree fell and the Beta saw a golden-feathered goose between its roots.
"Il la sortit, la prit et alla dans une auberge pour y passer la nuit.",,,,,,67,,He took it out and went to an inn to spend the night.
L'aubergiste avait trois filles.,,,,,,68,,The innkeeper had three daughters.
"Celles-ci, en apercevant l'oie, furent intriguées par cet oiseau étrange.",,,,,,69,,"When they saw the goose, they were intrigued by this strange bird."
Elles auraient bien voulu avoir une des plumes d'or.,,,,,,70,,They wish they had one of the golden feathers.
"Je trouverai bien une occasion de lui en arracher une,",,,,,,71,,"I'm sure I'll find an opportunity to rip him a new one,"
pensa la fille aînée.,,,,,,72,,thought the eldest daughter.
"Et lorsque le Bêta sortit,",,,,,,73,,"And when the Beta came out,"
elle attrapa l'oie par une aile.,,,,,,74,,she grabbed the goose by the wing.
Mais sa main resta collée à l'aile,,,,,,75,,But his hand remained glued to the wing
il lui fut impossible de la détacher.,,,,,,76,,it was impossible to untie her.
"La deuxième fille arriva,",,,,,,77,,"The second girl arrived,"
"elle aussi voulait avoir une plume d'or,",,,,,,78,,"she too wanted a golden feather,"
"mais dès qu'elle eut touché sa soeur,",,,,,,79,,"but as soon as she touched her sister,"
elle resta collée à elle.,,,,,,80,,she stuck to her.
La troisième fille arriva avec la même idée en tête.,,,,,,81,,The third girl arrived with the same idea in mind.
"Ne viens pas ici, que Dieu t'en garde!",,,,,,82,,"Don't come here, God forbid!"
Arrête-toi! crièrent ses soeurs.,,,,,,83,,"Stop!"" her sisters shouted."
Mais la benjamine ne comprenait pas pourquoi,,,,,,84,,But the youngest didn't understand why.
"elle ne devrait pas approcher,",,,,,,85,,"she shouldn't go near it,"
"elle se dit: Si elles ont pu s'en approcher,",,,,,,86,,"she says to herself: ""If they could get close to it,"
pourquoi je ne pourrais pas en faire autant?,,,,,,87,,why can't I do the same?
"Elle s'avança, et dès qu'elle eut touché sa soeur,",,,,,,88,,"She stepped forward, and as soon as she touched her sister,"
elle resta collée à elle.,,,,,,89,,she stuck to her.
Toutes les trois furent donc obligées de passer la nuit en compagnie de l'oie.,,,,,,90,,All three were thus obliged to spend the night in the company of the goose.
"Le lendemain matin,",,,,,,91,,"The next morning,"
"le Bêta prit son oie dans les bras et s'en alla,",,,,,,92,,"the Beta took his goose in his arms and left,"
sans se soucier des trois filles qui y étaient collées.,,,,,,93,,without worrying about the three girls who were glued to it.
"Elles furent bien obligées de courir derrière lui,",,,,,,94,,"They had to run after him,"
"de gauche à droite, et de droite à gauche,",,,,,,95,,"left to right, and right to left,"
partout où il lui plaisait d'aller.,,,,,,96,,wherever it pleased him to go.
"Ils rencontrèrent un curé dans les champs,",,,,,,97,,"They met a priest in the fields,"
"voyant ce défilé étrange,",,,,,,98,,"seeing this strange parade,"
se mit à crier:,,,,,,99,,began to shout:
"Vous n'avez pas honte,",,,,,,100,,"You have no shame,"
"impudentes, de courir ainsi derrière un garçon dans les champs?",,,,,,101,,to run after a boy in the fields?
Croyez-vous que c'est convenable?,,,,,,102,,Do you think it's appropriate?
"Et il attrapa la benjamine par la main voulant la séparer des autres,",,,,,,103,,"And he grabbed the youngest by the hand, trying to separate her from the others,"
mais dès qu'il la toucha il se colla à son tour,,,,,,104,,"but as soon as he touched it, he stuck to it."
il fut obligé de galoper derrière les autres.,,,,,,105,,he was forced to gallop behind the others.
"Peu de temps après, ils rencontrèrent le sacristain.",,,,,,106,,"Shortly afterwards, they met the sexton."
"Celui-ci fut surpris de voir le curé courir derrière les filles, et cria:",,,,,,107,,"He was surprised to see the priest running behind the girls, and shouted:"
