FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois une femme avec sa fille qui avaient un beau jardin de choux.,,,,,,1,,
"Un lapin vint, à la saison d'hiver,",,,,,,2,,
voilà qu'il leur mangeait tous les choux.,,,,,,3,,
Alors la femme dit à sa fille:,,,,,,4,,
Va au jardin et chasse-moi le lapin!,,,,,,5,,
Ouste! ouste! dit la fille.,,,,,,6,,
"Petit lapin, tu nous boulottes tous les choux!",,,,,,7,,
"Viens, fillette, dit le lapin,",,,,,,8,,
mets-toi sur ma queue de petit lapin,,,,,,9,,
suis-moi dans ma chaumière de petit lapin.,,,,,,10,,
La fille ne veut pas.,,,,,,11,,
"Le lendemain, revient le petit lapin qui mange encore les choux,",,,,,,12,,
et la femme dit à sa fille:,,,,,,13,,
Va au jardin et chasse-moi le lapin!,,,,,,14,,
Ouste! ouste! dit la fille.,,,,,,15,,
"Petit lapin, encore tu nous boulottes nos choux!",,,,,,16,,
"Viens, fillette, dit le lapin,",,,,,,17,,
mets-toi sur ma queue de petit lapin,,,,,,18,,
suis-moi dans ma chaumière de petit lapin.,,,,,,19,,
La fille ne veut pas.,,,,,,20,,
"Le surlendemain, voilà le petit lapin revenu,",,,,,,21,,
en train de boulotter les choux.,,,,,,22,,
"Alors, la mère dit à sa fille:",,,,,,23,,
Va au jardin et chasse-moi le lapin!,,,,,,24,,
"Viens, fillette, dit le lapin,",,,,,,25,,
mets-toi sur ma queue de petit lapin,,,,,,26,,
suis-moi dans ma chaumière de petit lapin.,,,,,,27,,
"La fille s'assied sur le petit bout de queue du lapin,",,,,,,28,,
il file au loin et la mène dans sa chaumière.,,,,,,29,,
"Maintenant, fillette, fais bouillir le chou vert et le millet,",,,,,,30,,
je vais inviter les gens de la noce.,,,,,,31,,
Et les invités de la noce arrivèrent tous ensemble.,,,,,,32,,
Mais qui étaient les gens de la noce?,,,,,,33,,
Je peux te le dire parce que c'est ce qu'on m'a raconté,,,,,,34,,
"les invités, c'étaient tous les lapins,",,,,,,35,,
"le corbeau y était venu aussi comme curé pour unir les époux,",,,,,,36,,
"le renard était le sacristain,",,,,,,37,,
l'autel sous l'arc-en-ciel.,,,,,,38,,
Mais la fillette se sentait triste:,,,,,,39,,
elle était toute seule.,,,,,,40,,
"Arrive le petit lapin, qui lui dit:",,,,,,41,,
Viens servir! Viens servir!,,,,,,42,,
Les invités sont gais!,,,,,,43,,
La fiancée ne dit rien. Elle pleure.,,,,,,44,,
Petit lapin s'en va.,,,,,,45,,
Petit lapin revient.,,,,,,46,,
Sers-les donc! lui dit-il.,,,,,,47,,
Sers-les donc! Les invités sont affamés!,,,,,,48,,
La fiancée ne dit rien. Elle pleure.,,,,,,49,,
Petit lapin s'en va.,,,,,,50,,
Petit lapin revient.,,,,,,51,,
Sers enfin! lui dit-il. Sers enfin!,,,,,,52,,
Les invités vont s'impatienter!,,,,,,53,,
La fiancée ne dit toujours rien;,,,,,,54,,
alors petit lapin s'en va.,,,,,,55,,
"Elle fait une poupée de paille,",,,,,,56,,
"qu'elle habille de ses vêtements,",,,,,,57,,
"lui met une cuillère de bois dans la main,",,,,,,58,,
"la pose devant la marmite au millet,",,,,,,59,,
puis s'en retourne chez sa mère.,,,,,,60,,
Petit lapin revient encore une fois en criant:,,,,,,61,,
Vas-tu servir? Vas-tu servir?,,,,,,62,,
Il se précipite sur la poupée de paille,,,,,,63,,
"il lui frappe un coup sur la tête,",,,,,,64,,
qui lui fait tomber son bonnet.,,,,,,65,,
Il s'aperçoit alors que ce n'est pas sa fiancée et s'éloigne;,,,,,,66,,
il est tout triste.,,,,,,67,,
