FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois un vieux château,,,,,,1,,"Once upon a time, there was an old castle"
au coeur d'une grande forêt épaisse,,,,,,2,,"in the heart of a large, thick forest"
là où vivait toute seule une vieille femme qui était une très grande magicienne.,,,,,,3,,where an old woman who was a great magician lived all alone.
"Le jour, elle se transformait en chatte ou en chouette,",,,,,,4,,"By day, she'd turn into a cat or an owl,"
mais le soir elle reprenait ordinairement forme humaine.,,,,,,5,,but in the evening she usually reverted to human form.
"Elle avait le pouvoir d'attirer les oiseaux et le gibier,",,,,,,6,,"It had the power to attract birds and game,"
elle les tuait ensuite pour les faire cuire et rôtir.,,,,,,7,,she then killed them to cook and roast.
"Si quelqu'un approchait du château à plus de cent pas,",,,,,,8,,"If anyone came within a hundred paces of the castle,"
il était forcé de s'arrêter,,,,,,9,,he was forced to stop
il ne pouvait plus bouger de là tant qu'elle ne l'avait pas délivré d'une formule magique,,,,,,10,,he couldn't move from there until she delivered him a magic spell
"mais si une pure jeune fille entrait dans ce cercle de cent pas,",,,,,,11,,"but if a pure young girl were to enter this hundred-step circle,"
"elle la métamorphosait en oiseau,",,,,,,12,,"she transformed her into a bird,"
elle l'enfermait dans une corbeille qu'elle portait dans une chambre du château.,,,,,,13,,she locked it in a basket and carried it to a room in the château.
Elle avait bien sept mille corbeilles de cette sorte dans le château,,,,,,14,,She had seven thousand such baskets in the castle.
avec un oiseau aussi rare dans chacune d'elle.,,,,,,15,,with such a rare bird in each of them.
Il était une fois une jeune fille qui s'appelait Jorinde;,,,,,,16,,"Once upon a time, there was a young girl called Jorinde;"
elle était plus belle que toutes les autres filles.,,,,,,17,,she was more beautiful than all the other girls.
Et puis il y avait un très beau jeune homme nommé Joringel,,,,,,18,,And then there was a very handsome young man named Joringel
Ils s'étaient promis l'un à l'autre.,,,,,,19,,They had promised each other.
Ils étaient au temps de leurs fiançailles,,,,,,20,,They were at the time of their engagement
leur plus grand plaisir était d'être ensemble.,,,,,,21,,their greatest pleasure was being together.
"Un jour, ils allèrent se promener dans la forêt afin de pouvoir parler en toute intimité.",,,,,,22,,"One day, they went for a walk in the forest so they could talk in complete privacy."
"Garde-toi, dit Joringel, d'aller aussi près du château.",,,,,,23,,"Don't go that close to the castle,"" says Joringel."
"C'était une belle soirée,",,,,,,24,,"It was a lovely evening,"
"le soleil brillait entre les troncs d'arbres, clair sur le vert sombre de la forêt,",,,,,,25,,"the sun shone brightly between the tree trunks, against the dark green of the forest,"
la tourterelle chantait plaintivement sur les vieux hêtres.,,,,,,26,,the turtle-dove sang plaintively on the old beech trees.
"Jorinde pleurait par moment,",,,,,,27,,"Jorinde cried at times,"
elle s'asseyait au soleil et gémissait;,,,,,,28,,she'd sit in the sun and moan;
Joringel gémissait lui-aussi.,,,,,,29,,Joringel groaned too.
Ils étaient aussi consternés que s'ils allaient mourir;,,,,,,30,,They were as dismayed as if they were going to die;
"ils regardaient autour d'eux,",,,,,,31,,"they looked around them,"
ils étaient perdus et ne savaient pas quelle direction ils devaient prendre pour rentrer chez eux.,,,,,,32,,they were lost and didn't know which way to go home.
"Il y avait encore une moitié de soleil au-dessus de la montagne,",,,,,,33,,"There was still half the sun above the mountain,"
l'autre était déjà derrière.,,,,,,34,,the other was already behind.
Joringel regarda à travers les taillis et vit la vieille muraille du château tout près de lui;,,,,,,35,,Joringel looked through the undergrowth and saw the old castle wall nearby;
il fut pris d'épouvante et envahi par une angoisse mortelle.,,,,,,36,,he was seized with dread and mortal anguish.
Jorinde se mit à chanter:,,,,,,37,,Jorinde began to sing:
