FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Un père appela un jour ses trois fils. ,,,,,,1,,"One day, a father called his three sons."
"Au premier il donna un coq, ",,,,,,2,,"To the first he gave a rooster,"
"au deuxième une faux,",,,,,,3,,"the second a scythe,"
au troisième un chat.,,,,,,4,,the third a cat.
"Je me fais vieux, dit-il, le moment approche, ",,,,,,5,,"I'm getting old,"" he says, ""the time is coming,"
avant de mourir je voudrais bien m'occuper de votre avenir. ,,,,,,6,,"before I die, I'd like to take care of your future."
"Je n'ai pas d'argent et ce que je vous donne là n'a, à première vue, qu'une faible valeur. ",,,,,,7,,"I don't have any money and what I'm giving you here is, on the face of it, of little value."
Mais parfois on ne doit pas se fier aux apparences. ,,,,,,8,,But sometimes appearances can be deceiving.
Ce qui est important est la manière dont vous saurez vous en servir. ,,,,,,9,,What's important is how you use it.
Trouvez un pays où l'on ne connaît pas encore ces serviteurs et vous serez heureux.,,,,,,10,,"Find a country where these servants are not yet known, and you'll be happy."
"Après la mort du père, l'aîné prit le coq et s'en alla dans le monde, ",,,,,,11,,"After the father's death, the eldest took the rooster and went out into the world,"
mais partout où il allait les gens connaissaient les coqs. ,,,,,,12,,"but wherever he went, people knew the roosters."
"D'ailleurs, dans les villes, il les voyait de loin sur la pointe des clochers, tournant au vent. ",,,,,,13,,"Moreover, in towns, he could see them from afar on the tips of steeples, turning in the wind."
"Et dans les villages, il en entendit chanter un grand nombre. ",,,,,,14,,And in the villages he heard many of them singing.
Personne ne s'extasiait devant son coq et rien ne faisait penser qu'il puisse lui porter bonheur. ,,,,,,15,,"No one was raving about his rooster, and there was no reason to believe it would bring him luck."
"Un jour, néanmoins, il finit par trouver sur une île des gens qui n'avaient jamais vu de coq de leur vie. ",,,,,,16,,"One day, however, he came across a group of people on an island who had never seen a rooster in their lives."
Ils n'avaient aucune notion du temps et ne savaient pas le compter. ,,,,,,17,,They had no concept of time and couldn't count it.
"Ils distinguaient le matin du soir, ",,,,,,18,,"They could tell morning from evening,"
"mais la nuit tombée, s'ils ne dormaient pas, aucun d'eux ne savait dans combien de temps le jour allait se lever.",,,,,,19,,"but when night fell, if they weren't asleep, none of them knew how long it would be before daylight."
Le garçon se mit à les interpeller:,,,,,,20,,The boy began to call out to them:
"Approchez, approchez! Regardez cet animal fier! ",,,,,,21,,"Come closer, come closer! Look at this proud animal!"
Il a une couronne de rubis sur la tête et des éperons comme un chevalier. ,,,,,,22,,He wears a ruby crown on his head and spurs like a knight.
"Trois fois dans la nuit il vous annoncera la progression du temps, ",,,,,,23,,"Three times a night it will announce the progress of the weather,"
"quand il appellera pour la troisième fois, le soleil se lèvera aussitôt. ",,,,,,24,,"when he calls for the third time, the sun will rise immediately."
"S'il chante dans la journée, vous pourrez être sûrs et certains que le temps va changer,",,,,,,25,,"If he sings during the day, you can be sure that the weather will change,"
vous pourrez prendre vos précautions.,,,,,,26,,you can take your own precautions.
Les gens étaient en extase devant le coq; ,,,,,,27,,People were ecstatic about the rooster;
"ils restèrent éveillés toute la nuit pour écouter avec ravissement, ",,,,,,28,,"they stayed awake all night to listen with rapture,"
"à deux heures, puis à quatre heures et enfin à six heures ",,,,,,29,,"at two o'clock, then at four o'clock and finally at six o'clock"
le coq chanter à tue-tête pour leur annoncer l'heure. ,,,,,,30,,the rooster crowing loudly to tell them the time.
"Le lendemain matin, ils demandèrent au garçon de leur vendre le coq et de leur dire son prix.",,,,,,31,,"The next morning, they asked the boy to sell them the rooster and tell them his price."
"Autant d'or qu'un âne puisse porter, répondit-il.",,,,,,32,,"As much gold as a donkey can carry,"" he replied."
Si peu? Pour un tel animal? crièrent les habitants de l'île plus fort les uns que les autres. ,,,,,,33,,"So little? For such an animal? cried the islanders, each louder than the last."
Et ils lui donnèrent volontiers ce qu'il avait demandé.,,,,,,34,,And they gladly gave him what he had asked for.
Le garçon rentra à la maison avec l'âne et toute sa richesse et ses frères en furent époustouflés. ,,,,,,35,,"The boy returned home with the donkey and all its riches, and his brothers were amazed."
"Le deuxième décida: J'irai, moi aussi, dans le monde! ",,,,,,36,,The second decided: I too will go out into the world!
On verra si j'ai autant de chance.,,,,,,37,,We'll see if I'm as lucky.
"Il marcha et marcha, et rien n'indiquait qu'il aurait autant de réussite avec sa faux; ",,,,,,38,,"He walked and walked, and there was no sign that he'd have as much success with his scythe;"
partout il rencontrait des paysans avec une faux sur l'épaule. ,,,,,,39,,everywhere he met peasants with a scythe on their shoulder.
"Un jour, enfin, le destin le dirigea sur une île dont les habitants n'avaient jamais vu de faux de leur vie. ",,,,,,40,,"One day, at last, fate directed him to an island whose inhabitants had never seen a scythe in their lives."
"Lorsque le seigle était mûr, les villageois amenaient des canons sur les champs et tiraient sur le blé. ",,,,,,41,,"When the rye was ripe, the villagers brought cannons to the fields and shot the wheat."
"C'était, tout compte fait, pur hasard: ",,,,,,42,,"It was, after all, pure chance:"
"un coup ils tiraient trop haut, un coup ils touchaient les épis à la place des tiges, ",,,,,,43,,"One minute they were pulling too high, the next they were hitting the ears instead of the stems,"
beaucoup de graines étaient ainsi perdues sans parler du fracas pendant la moisson. Insoutenable!,,,,,,44,,"many seeds were lost, not to mention the clatter during the harvest. Unbearable!"
Le garçon s'en alla dans le champ et commença à faucher. ,,,,,,45,,The boy went out into the field and started mowing.
"Il fauchait sans faire de bruit et si vite que les gens le regardaient bouche bée, retenant leur souffle. ",,,,,,46,,"He mowed so quietly and so fast that people stared at him in awe, holding their breath."
"ils s'empressèrent de lui donner ce qu'il voulait en échange de la faux, ",,,,,,47,,"they were quick to give him what he wanted in exchange for the scythe,"
lui amenèrent un cheval avec un chargement d'or aussi lourd qu'il pouvait porter.,,,,,,48,,brought him a horse with a load of gold as heavy as it could carry.
Le troisième frère décida de tenter sa chance avec son chat. ,,,,,,49,,The third brother decided to try his luck with his cat.
"Tant qu'il restait sur la terre ferme, il n'avait pas plus de succès que ses frères; ",,,,,,50,,"As long as he stayed on dry land, he was no more successful than his brothers;"
il ne trouvait pas son bonheur. ,,,,,,51,,he couldn't find happiness.
"Mais un jour il arriva en bateau sur une île, et la chance lui sourit enfin. ",,,,,,52,,"But one day he arrived on an island by boat, and luck finally smiled on him."
"Les habitants n'avaient jamais vu de chat auparavant, alors que les souris sur l'île ne manquaient pas. ",,,,,,53,,"The locals had never seen a cat before, although there was no shortage of mice on the island."
"Elles dansaient sur les tables et les bancs, régnant en maîtres partout, en dehors comme au-dedans. ",,,,,,54,,"They danced on tables and benches, reigning supreme everywhere, inside and out."
"Les habitants de l'île s'en plaignaient énormément, le roi lui-même était impuissant devant ce fléau.",,,,,,55,,"The islanders complained a great deal, and the king himself was powerless to stop the plague."
Quelle aubaine pour le chat! Il se mit à chasser les souris et bientôt il en débarrassa plusieurs salles du palais. ,,,,,,56,,"What a boon for the cat! He began hunting mice, and soon had several of the palace's rooms cleared of them."
"Les sujets de tout le royaume prièrent le roi d'acheter cet animal extraordinaire, ",,,,,,57,,"The subjects of the whole kingdom begged the king to buy this extraordinary animal,"
le roi donna volontiers au garçon ce qu'il en demandait: un mulet chargé d'or. ,,,,,,58,,the king gladly gave the boy what he asked for: a mule loaded with gold.
