FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il y avait une fois un homme qui était habile à tous les métiers;,,,,,,1,,"Once upon a time, there was a man who was skilled in all trades;"
il se fit soldat et servit bravement;,,,,,,2,,he became a soldier and served bravely;
"mais, quand la guerre fut finie,",,,,,,3,,"but when the war was over,"
il reçut son congé avec trois deniers de frais de route pour regagner ses foyers.,,,,,,4,,he was discharged with three denarii for the journey home.
"Tout cela ne lui convenait pas, et il se promit bien,",,,,,,5,,"All this didn't suit him, and he promised himself well,"
"s'il trouvait seulement des compagnons, de forcer le roi à lui donner tous les trésors de son royaume.",,,,,,6,,"if he could only find companions, to force the king to give him all the treasures of his kingdom."
"Il prit, tout en colère, le chemin de la forêt,",,,,,,7,,"Angrily, he headed for the forest,"
"là il vit un homme qui venait de déraciner six grands arbres avec la main,",,,,,,8,,"there he saw a man who had just uprooted six large trees with his hand,"
comme si ce n'eût été que des brins d'herbe.,,,,,,9,,as if they were just blades of grass.
Il lui demanda:  Veux-tu me suivre et être mon serviteur?,,,,,,10,,He asked him:  Will you follow me and be my servant?
"Volontiers, dit l'autre;",,,,,,11,,"Gladly,"" said the other;"
mais d'abord il faut que je porte à ma mère ce petit fagot.,,,,,,12,,but first I have to take this little bundle to my mother.
"Et prenant un des arbres,",,,,,,13,,"And picking up one of the trees,"
"il en fit un lien autour des cinq autres, mit le fagot sur son épaule et l'emporta ainsi.",,,,,,14,,"he tied it around the other five, put the bundle on his shoulder and carried it away."
"Ensuite il revint trouver son maître, qui lui dit:",,,,,,15,,"Then he returned to his master, who said:"
"A nous deux, nous viendrons à bout de tout.",,,,,,16,,"Between the two of us, we can do anything."
"A quelque distance de là, ils rencontrèrent un chasseur qui était à genoux et qui tenait sa carabine en joue.",,,,,,17,,"Some distance away, they came upon a hunter on his knees, holding his rifle in his sights."
"Le soldat lui demanda:  Chasseur, que vises-tu donc ainsi?",,,,,,18,,"The soldier asked:  Hunter, what are you aiming at?"
"Il répondit:  Il y a une mouche posée à deux lieues d'ici sur une branche de chêne,",,,,,,19,,"He replied: ""There's a fly sitting on an oak branch two leagues from here,"
