FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Le renard fit un jour au loup des récits merveilleux de la force de l'homme; ,,,,,,1,,The fox once told the wolf wonderful tales of human strength;
"il n'est pas un seul des animaux, dit-il, qui puisse lui résister, ",,,,,,2,,"there's not a single animal,"" he says, ""that can resist him,"
tous ont besoin de recourir à la ruse pour échapper à ses coups.,,,,,,3,,all need to resort to cunning to escape his blows.
Le loup répondit au renard d'un air fanfaron:,,,,,,4,,The wolf replied to the fox with a swagger:
Je voudrais bien qu'un heureux hasard me fît rencontrer un homme; ,,,,,,5,,I wish I could meet a man by chance;
tous tes beaux discours ne m'empêcheraient pas de l'aborder en face.,,,,,,6,,all your rhetoric wouldn't stop me from talking to her face.
"Si tel est ton désir, répliqua le renard, il me sera facile de te fournir l'occasion que tu parais poursuivre. ",,,,,,7,,"If that is your wish,"" replied the fox, ""it will be easy for me to provide you with the opportunity you seem to be pursuing."
"Viens me trouver demain de bon matin, ",,,,,,8,,"Come and find me tomorrow morning,"
je te montrerai celui que tu cherches.,,,,,,9,,I'll show you the one you're looking for.
"Le loup se trouva à l'heure convenue au rendez-vous, ",,,,,,10,,"The wolf turned up at the agreed rendezvous time,"
"maître renard le conduisit par des détours à lui familiers, ",,,,,,11,,"master fox led him along familiar detours,"
au chemin qu'un chasseur avait coutume de prendre tous les jours. ,,,,,,12,,to the path a hunter used to take every day.
"Le premier individu qui se présenta fut un vieux soldat, congédié depuis longtemps.",,,,,,13,,"The first person to appear was an old soldier, long since discharged."
Est-ce là un homme? demanda le loup.,,,,,,14,,"Is that a man?"" asked the wolf."
"Non, répondit le renard, c'en était un autrefois.",,,,,,15,,"No,"" replied the fox, ""it used to be."
"Après le soldat, un petit garçon qui se rendait à l'école apparut sur le chemin.",,,,,,16,,"After the soldier, a little boy on his way to school appeared on the path."
Le loup demanda de nouveau:,,,,,,17,,The wolf asked again:
Est-ce là un homme?,,,,,,18,,Is this a man?
"Non, mais c'en sera un plus tard.",,,,,,19,,"No, but it will be later."
"Enfin arriva le chasseur, son fusil à deux coups sur le dos et son couteau de chasse au côté.",,,,,,20,,"At last the hunter arrived, his double-barrelled shotgun on his back and his hunting knife at his side."
Maître renard s'adressant au loup:,,,,,,21,,Master Fox addresses the wolf:
"Cette fois, celui que tu vois venir est bien un homme; ",,,,,,22,,"This time, the one you see coming is indeed a man;"
voici le moment de l'aborder en face; ,,,,,,23,,now's the time to face it head-on;
"quant à moi, tu ne trouveras pas mauvais que j'aille me reposer un peu dans ma tanière.",,,,,,24,,"As for me, I'm sure you won't mind if I take a little rest in my den."
"Ainsi qu'il l'avait dit, le loup marcha droit à la rencontre du chasseur; ",,,,,,25,,"As he had said, the wolf walked straight to meet the hunter;"
"à sa vue, celui-ci se dit en lui même:",,,,,,26,,"at the sight of it, he said to himself:"
Quel dommage que je n'aie pas chargé mon fusil à balles!,,,,,,27,,What a pity I didn't load my shotgun!
"Il mit en joue, et envoya tout son petit plomb dans le visage de messire loup, ",,,,,,28,,"He aimed, and sent all his small lead into the face of messire loup,"
"il fit une grimace affreuse, et continua cependant d'avancer sans se laisser intimider. ",,,,,,29,,"he grimaced horribly, yet continued on his way undaunted."
Le chasseur lui adressa une seconde décharge. ,,,,,,30,,The hunter shot him a second time.
Le loup supporta sa douleur en silence et s'élança d'un bond sur le chasseur; ,,,,,,31,,The wolf bore his pain in silence and leapt at the hunter;
"celui-ci tira du fourreau sa lame acérée, ",,,,,,32,,"he drew his sharp blade from the scabbard,"
"il lui en porta dans les flancs de si rudes coups que le pauvre animal, renonçant à sa vengeance, prit la fuite, ",,,,,,33,,"he struck such hard blows into the animal's flanks that it gave up its vengeance and fled,"
il retourna tout sanglant vers le renard.,,,,,,34,,he returned bloody to the fox.
"Eh bien, lui cria le rusé compère, du plus loin qu'il l'aperçut, ",,,,,,35,,"Well,"" shouted the shrewd fellow, from as far away as he could see,"
comment t'es-tu tiré de ta rencontre avec l'homme?,,,,,,36,,how did you cope with your encounter with man?
"Ne me le demande pas, répondit le loup tout confus, ",,,,,,37,,"Don't ask me,"" replied the confused wolf,"
je ne me serais jamais fait une telle idée de la force de l'homme; ,,,,,,38,,I would never have had such an idea of man's strength;
"il commença par prendre un bâton qu'il portait sur le dos, ",,,,,,39,,"he began by carrying a stick on his back,"
"il souffla par un bout et m'envoya au visage une certaine poussière, ",,,,,,40,,"he blew on one end and blew some dust in my face,"
elle m'a chatouillé de la manière la plus désagréable du monde; ,,,,,,41,,she tickled me in the most unpleasant way;
"puis il souffla une seconde fois dans son bâton, ",,,,,,42,,"then blew into his stick a second time,"
je crus recevoir dans le nez une pluie de grêlons et d'éclairs; ,,,,,,43,,I thought I'd been hit in the nose with a shower of hailstones and lightning;
"lorsque je fus parvenu tout près de lui, ",,,,,,44,,"when I got close to him,"
"il tira de son corps une blanche côte, ",,,,,,45,,"he pulled a white rib from his body,"
"il m'en asséna des coups si violents, ",,,,,,46,,"he hit me so hard,"
que peu s'en est fallu que je ne restasse mort sur la place.,,,,,,47,,that I was almost left dead in the square.
"Cela te prouve, répondit le renard, que l'on ne gagne pas toujours à faire le fanfaron, ",,,,,,48,,"That proves to you,"" replied the fox, ""that you don't always win by showing off,"
et qu'il ne faut jamais promettre plus qu'on ne peut tenir.,,,,,,49,,and never promise more than you can deliver.
