FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
"Certain loup s'était fait le compagnon de certain renard,",,,,,,1,,
"et les moindres désirs de sa seigneurie le loup devenaient des ordres,",,,,,,2,,
"son très-humble serviteur le renard, était le plus faible.",,,,,,3,,
Aussi désirait-il de tout son coeur pouvoir se débarrasser d'un camarade aussi gênant.,,,,,,4,,
"Tout en rôdant de compagnie, ils arrivèrent un jour dans une forêt profonde.",,,,,,5,,
"Ami à barbe rouge, lui dit le loup,",,,,,,6,,
"mets-toi en quête de me procurer un bon morceau; sinon, je te croque.",,,,,,7,,
Maître renard s'empressa de répondre:,,,,,,8,,
"Seigneur loup, je sais à peu de distance d'ici une étable où se trouvent deux agneaux friands;",,,,,,9,,
"si le coeur vous en dit, nous irons en dérober un.",,,,,,10,,
La proposition plut au loup.,,,,,,11,,
"En conséquence, nos deux compagnons se dirigèrent vers la ferme indiquée;",,,,,,12,,
"le rusé renard parvint sans peine à dérober un des agneaux,",,,,,,13,,
il s'empressa de l'apporter au loup; puis il s'éloigna.,,,,,,14,,
Aussitôt le loup se mit en devoir de dévorer à belles dents l'innocente bête;,,,,,,15,,
"quand il eut fini, ce qui ne tarda guère, ne se sentant pas encore suffisamment repu,",,,,,,16,,
il se prit à penser que ce ne serait pas trop du second agneau pour apaiser sa faim.,,,,,,17,,
Il se décida donc à entreprendre lui-même cette nouvelle expédition.,,,,,,18,,
"Or, comme sa seigneurie était un peu lourde,",,,,,,19,,
"elle renversa un balai en entrant dans l'étable,",,,,,,20,,
"la mère du pauvre agneau poussa aussitôt des bêlements déchirants,",,,,,,21,,
le fermier et ses garçons accoururent en toute hâte.,,,,,,22,,
Maître loup passa alors un mauvais quart d'heure;,,,,,,23,,
"il sentit pleuvoir sur son dos une grêle de coups,",,,,,,24,,
"il eut toutes les peines du monde à se sauver en boîtant,",,,,,,25,,
et en hurlant de la manière la plus lamentable.,,,,,,26,,
Arrivé près du renard:,,,,,,27,,
"Tu m'as conduit dans un beau guêpier, lui dit-il;",,,,,,28,,
j'avais voulu m'emparer du deuxième agneau;,,,,,,29,,
"mais est-ce que ces paysans mal appris ne se sont pas avisés de fondre sur moi à grands coups de bâton,",,,,,,30,,
ce qui m'a réduit au fâcheux état où tu me vois.,,,,,,31,,
Pourquoi aussi êtes-vous si insatiable? répondit le renard.,,,,,,32,,
"Le jour suivant, ils se remirent en campagne, et s'adressant à son rusé compagnon:",,,,,,33,,
"Ami à barbe rouge, lui dit le loup,",,,,,,34,,
"mets-toi en quête de me procurer un bon morceau, sinon je te croque.",,,,,,35,,
Maître renard s'empressa de répondre:,,,,,,36,,
"Seigneur loup, je connais une ferme dont la fermière est présentement occupée à faire des gâteaux délicieux;",,,,,,37,,
"si vous voulez, nous irons en dérober quelques-uns?",,,,,,38,,
"Marche en avant, répliqua le loup.",,,,,,39,,
"Ils se dirigèrent donc vers la ferme en question,",,,,,,40,,
"quand ils y furent arrivés, le renard poussa des reconnaissances autour de la place qu'il s'agissait d'enlever.",,,,,,41,,
"Il fureta si bien, qu'il finit par découvrir l'endroit où la ménagère cachait ses gâteaux,",,,,,,42,,
"il en déroba une demi-douzaine, et courut les porter au loup.",,,,,,43,,
"Voilà de quoi régaler votre seigneurie, dit-il.",,,,,,44,,
Puis il s'éloigna.,,,,,,45,,
"Le loup ne fit qu'une bouchée des six gâteaux qui, loin de le rassasier, aiguillonnèrent encore son appétit.",,,,,,46,,
Cela demanda à être goûté plus à loisir! rumina-t-il.,,,,,,47,,
"En conséquence, il entra dans la ferme d'où il avait vu sortir le renard,",,,,,,48,,
il parvint dans l'office où se trouvaient les gâteaux.,,,,,,49,,
"Dans son avidité, il voulut tirer à lui tout le plat qui tomba sur le carreau,",,,,,,50,,
il vola en pièces en occasionnant un grand fracas.,,,,,,51,,
"Attirée soudain par un tel vacarme, la fermière aperçut le loup et appela ses gens.",,,,,,52,,
"Ceux-ci accoururent sur-le-champ, et cette fois encore maître loup fut rossé d'importance.",,,,,,53,,
"Boîtant de deux pattes et poussant des hurlements capables d'attendrir un rocher, il rejoignit le renard dans la forêt:",,,,,,54,,
Dans quel horrible guêpier m'as-tu de nouveau conduit? lui dit-il.,,,,,,55,,
Il se trouvait là des rustres qui m'ont cassé leurs bâtons sur le dos.,,,,,,56,,
Pourquoi votre seigneurie est-elle si insatiable? répondit le renard.,,,,,,57,,
"Le lendemain, les deux compagnons se mirent pour la troisième fois en campagne,",,,,,,58,,
le loup ne pût encore marcher que clopin-clopant mais s'adressa de nouveau au renard:,,,,,,59,,
"Ami à la barbe rouge, lui dit-il,",,,,,,60,,
mets-toi en quête de me procurer un bon morceau; sinon je te croque.,,,,,,61,,
Le renard s'empressa de répondre.,,,,,,62,,
Je connais un homme qui vient de saler un porc; ,,,,,,63,,
le lard savoureux se trouve en ce moment dans un tonneau de sa cave; ,,,,,,64,,
"si vous voulez, nous irons en prélever notre part?",,,,,,65,,
"J'y consens, répliqua le loup, mais j'entends que nous y allions ensemble, ",,,,,,66,,
pour que tu puisses me prêter secours en cas de malheur.,,,,,,67,,
