FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
"Un jeune garçon et sa petite soeur jouaient au bord d'une fontaine, et voilà qu'il tombèrent dedans.",,,,,,1,,A young boy and his little sister were playing by a fountain when they fell in.
"Au fond, il y avait une ondine.",,,,,,2,,"In the background, there was an undine."
C'est le nom qu'on donne à ces dames des eaux.,,,,,,3,,That's what we call these water ladies.
"A présent, je vous tiens, leur dit-elle,",,,,,,4,,"Now I've got you,"" she said,"
vous allez maintenant travailler dur pour moi!,,,,,,5,,now you're going to work hard for me!
Elle les entraîna avec elle.,,,,,,6,,She took them with her.
"A la fillette, elle donna à filer de la vilaine filasse toute sale et toute emmêlée,",,,,,,7,,"She gave the little girl some dirty, tangled yarn to spin,"
et aussi à porter de l'eau dans un tonneau sans fond;,,,,,,8,,and also to carry water in a bottomless barrel;
"le garçonnet, lui, lui eut à couper un arbre avec une hache;",,,,,,9,,the boy had to chop down a tree with an axe;
"mais pour toute nourriture, ils n'avaient que des boulettes dures comme pierres.",,,,,,10,,but all they had to eat were rock-hard pellets.
"Ce régime et ses travaux exaspérèrent les enfants à tel point qu'ils attendirent le dimanche,",,,,,,11,,"The children were so exasperated by this regime and its work that they waited until Sunday,"
"quand la dame des eaux se rendait à la messe, et alors ils s'enfuirent.",,,,,,12,,"when the water lady was on her way to mass, and so they fled."
"A son retour de l'église,",,,,,,13,,"On his return from church,"
l'ondine vit que les oiseaux n'étaient plus au nid,,,,,,14,,the undine saw that the birds were no longer in their nest
elle se lança à leur poursuite avec des bons énormes.,,,,,,15,,she set off in pursuit with enormous bonuses.
"Mais les enfants la virent venir de loin, et la fillette jeta une brosse derrière elle;",,,,,,16,,"But the children saw her coming from a distance, and the little girl threw a brush behind her;"
"la brosse se multiplia et se dressa en une immense montagne de brosses avec une infinité de piquants,",,,,,,17,,"the brush multiplied and grew into an immense mountain of brushes with an infinite number of prickles,"
"des milliers et des milliers de piquants pointus que l'ondine dut escalader à grand-peine,",,,,,,18,,"thousands and thousands of sharp prickles that the ondine had to climb with great difficulty,"
mais qu'elle finit tout de même par escalader.,,,,,,19,,but which she eventually climbed anyway.
"Voyant qu'elle avait franchi ce Mont des Brosses,",,,,,,20,,"Seeing that she had crossed this Mont des Brosses,"
"le garçonnet jeta derrière lui un peigne,",,,,,,21,,"the boy threw a comb behind him,"
qui devint un énorme Mont des Peignes avec des milliers de milliers de dents pointues dressées devant l'ondine.,,,,,,22,,which became an enormous Mont des Peignes with thousands of thousands of sharp teeth standing up to the ondine.
Mais elle savait se tenir sur ces dents et elle finit par franchir le Mont des Peignes.,,,,,,23,,"But she knew how to stand on her teeth, and eventually crossed Mont des Peignes."
"Alors, la fillette jeta derrière elle un miroir qui donna une montagne de miroirs, mais si brillants,",,,,,,24,,"So the little girl threw a mirror behind her, which resulted in a mountain of mirrors, but so shiny,"
si polis et si lisses que jamais elle ne put s'y tenir et monter dessus.,,,,,,25,,so polished and smooth that she could never stand on them and climb on them.
"Je vais vite rentrer à la maison prendre ma hache, pensa l'ondine,",,,,,,26,,"I'll just run home and get my axe,"" thought the undine,"
je briserai ce Mont des Glaces.,,,,,,27,,I'll break this Ice Mountain.
"Mais, le temps qu'elle revienne, les enfants avaient pris le large et s'étaient enfuis bien plus loin,",,,,,,28,,"But by the time she returned, the children had taken to the sea and fled much further afield,"
si bien que la dame n'eut plus qu'à s'en retourner vivre dans sa fontaine.,,,,,,29,,so that the lady had no choice but to return to her fountain to live.
