FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"The Lord God had created all animals, ",1,"Le Seigneur Dieu avait créé tous les animaux, ",
,,,,,"and had chosen out the wolf to be his dog, ",2,"et avait choisi le loup pour être son chien, ",
,,,,,but he had forgotten the goat. ,3,mais il avait oublié la chèvre. ,
,,,,,"Then the Devil made ready and began to create also, ",4,"Alors le diable se prépara et commença à créer lui aussi, ",
,,,,,and created goats with fine long tails. ,5,et a créé des chèvres avec de longues et fines queues. ,
,,,,,"Now when they went to pasture, they generally remained caught in the hedges by their tails, ",6,"Or, lorsqu'ils allaient au pâturage, ils restaient généralement accrochés aux haies par la queue, ",
,,,,,"then the Devil had to go there and disentangle them, with a great deal of trouble. ",7,"alors le Diable a dû s'y rendre et les démêler, avec beaucoup de difficultés. ",
,,,,,"This enraged him at last, and he went and bit off the tail of every goat, as may be seen to this day by the stump. ",8,"Cela le mit finalement en colère et il alla arracher la queue de toutes les chèvres, comme en témoigne encore aujourd'hui la souche. ",
,,,,,"Then he let them go to pasture alone, ",9,"Puis il les a laissés aller seuls au pâturage, ",
,,,,,"but it came to pass that the Lord God perceived how at one time they gnawed away at a fruitful tree, ",10,"Mais le Seigneur Dieu s'aperçut qu'ils avaient déjà rongé un arbre fructueux, ",
,,,,,"at another injured the noble vines, or destroyed other tender plants. ",11,d'autres ont blessé les nobles vignes ou détruit d'autres plantes tendres. ,
,,,,,"This distressed him, so that in his goodness and mercy he summoned his wolves, ",12,"Cela l'affligea et, dans sa bonté et sa miséricorde, il convoqua ses loups, ",
,,,,,who soon tore in pieces the goats that went there. ,13,qui ne tarda pas à mettre en pièces les chèvres qui s'y rendaient. ,
,,,,,"When the devil observed this, he went before the Lord and said, ",14,"Quand le diable l'a vu, il s'est présenté devant le Seigneur et a dit , ",
,,,,,Thy creatures have destroyed mine. ,15,Tes créatures ont détruit les miennes. ,
,,,,,"The Lord answered, Why didst thou create things to do harm? ",16,L'Éternel répondit : Pourquoi as-tu créé des choses pour qu'elles fassent du mal ? ,
,,,,,"The Devil said, I was compelled to do it: inasmuch as my thoughts run on evil, ",17,"Le diable dit : J'ai été contraint de le faire, car mes pensées se portent vers le mal, ",
,,,,,"what I create can have no other nature, ",18,"ce que je crée ne peut avoir d'autre nature, ",
,,,,,and thou must pay me heavy damages. ,19,et tu devras me payer de lourds dommages et intérêts. ,
,,,,,I will pay thee as soon as the oak leaves fall; ,20,Je te paierai dès que les feuilles de chêne tomberont ; ,
,,,,,"come then, thy money will then be ready counted out. ",21,"Viens donc, ton argent sera alors prêt à être décompté. ",
,,,,,"When the oak-leaves had fallen, the Devil came and demanded what was due to him. ",22,"Lorsque les feuilles de chêne furent tombées, le diable vint et réclama son dû. ",
,,,,,"But the Lord said, In the church of Constantinople stands a tall oak-tree which still has all its leaves. ",23,Mais le Seigneur dit : Dans l'église de Constantinople se trouve un grand chêne qui a encore toutes ses feuilles. ,
,,,,,"With raging and curses, the Devil departed, ",24,"Avec rage et malédiction, le diable s'en alla, ",
,,,,,"and went to seek the oak, wandered in the wilderness for six months before he found it, ",25,"et partit à la recherche du chêne, erra dans le désert pendant six mois avant de le trouver, ",
,,,,,"and when he returned, all the oaks had in the meantime covered themselves again with green leaves. ",26,"et lorsqu'il revint, tous les chênes s'étaient entre-temps recouverts de feuilles vertes. ",
,,,,,"Then he had to forfeit his indemnity, ",27,"Il a alors dû renoncer à son indemnité, ",
,,,,,"and in his rage he put out the eyes of all the remaining goats, ",28,"et dans sa rage, il creva les yeux de toutes les chèvres restantes, ",
,,,,,and put his own in instead.,29,et a mis le sien à la place.,
,,,,,"This is why all goats have devil's eyes, ",30,"C'est pourquoi toutes les chèvres ont des yeux de diable, ",
,,,,,"and their tails bitten off, ",31,"et leur queue arrachée, ",
,,,,,and why he likes to assume their shape.,32,et pourquoi il aime prendre leur forme.,
