FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,There was once an enchanter who was standing in the midst of a great crowd of people performing his wonders. ,1,Il était une fois un enchanteur qui se tenait au milieu d'une grande foule de gens en train d'accomplir ses prodiges. ,
,,,,,"He had a cock brought in, which lifted a heavy beam and carried it as if it were as light as a feather. ",2,Il a fait venir un coq qui a soulevé une lourde poutre et l'a portée comme si elle était aussi légère qu'une plume. ,
,,,,,"But a girl was present who had just found a bit of four-leaved clover, ",3,"Mais une jeune fille était présente et venait de trouver un peu de trèfle à quatre feuilles, ",
,,,,,"and had thus become so wise that no deception could stand out against her, ",4,"et était ainsi devenue si sage qu'aucune tromperie ne pouvait lui résister, ",
,,,,,and she saw that the beam was nothing but a straw. ,5,et elle vit que la poutre n'était qu'une paille. ,
,,,,,"So she cried, You people, do you not see that it is a straw that the cock is carrying, and no beam? ",6,"Alors elle s'écria : Vous autres, ne voyez-vous pas que c'est une paille que le coq porte, et non une poutre ? ",
,,,,,"Immediately the enchantment vanished, ",7,"Immédiatement, l'enchantement disparaît, ",
,,,,,"and the people saw what it was, ",8,"et le peuple vit ce que c'était, ",
,,,,,and drove the magician away in shame and disgrace. ,9,et chassa le magicien dans la honte et l'opprobre. ,
,,,,,"He, however, full of inward anger, said, I will soon revenge myself?",10,"Mais lui, plein de colère intérieure, dit : Je me vengerai bientôt ?",
,,,,,"After some time the girl's wedding-day came, ",11,"Quelque temps plus tard, le jour du mariage de la jeune fille arriva, ",
,,,,,"and she was decked out, ",12,"et elle était parée, ",
,,,,,and went in a great procession over the fields to the place where the church was. ,13,et se rendirent en grande procession à travers les champs jusqu'à l'endroit où se trouvait l'église. ,
,,,,,"All at once she came to a stream which was very much swollen, ",14,"Tout à coup, elle arriva à un ruisseau très gonflé, ",
,,,,,and there was no bridge and no plank to cross it. ,15,et il n'y avait ni pont ni planche pour la traverser. ,
,,,,,"Then the bride nimbly took her clothes up, ",16,"Puis la mariée se rhabille avec agilité, ",
,,,,,and wanted to wade through it. ,17,et a voulu s'y plonger. ,
,,,,,"And just as she was thus standing in the water, ",18,"Et c'est ainsi qu'elle s'est retrouvée dans l'eau, ",
,,,,,"a man, and it was the enchanter, cried mockingly close beside her, Aha! ",19,"un homme, et c'était l'enchanteur, s'écria tout près d'elle, d'un air moqueur : Aha ! ",
,,,,,Where are thine eyes that thou takest that for water? ,20,Où sont tes yeux pour que tu prennes cela pour de l'eau ? ,
,,,,,"Then her eyes were opened, ",21,"C'est alors que ses yeux se sont ouverts, ",
,,,,,and she saw that she was standing with her clothes lifted up in the middle of a field ,22,"et elle vit qu'elle se tenait debout, les vêtements relevés, au milieu d'un champ. ",
,,,,,that was blue with the flowers of blue flax. ,23,qui était bleu avec les fleurs de lin bleu. ,
,,,,,"Then all the people saw it likewise, ",24,"Tout le peuple le vit de même, ",
,,,,,and chased her away with ridicule and laughter.,25,et l'ont chassée par des moqueries et des rires.,
