FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"There was once an old woman, but thou hast surely seen an old woman go a-begging before now? ",1,"Il y a déjà eu une vieille femme, mais tu n'as sûrement jamais vu une vieille femme aller mendier ? ",
,,,,,"This woman begged likewise, ",2,"Cette femme a supplié de la même manière, ",
,,,,,"and when she got anything she said, ",3,"et quand elle a eu quelque chose, elle a dit, ",
,,,,,May God reward you. ,4,Que Dieu vous récompense. ,
,,,,,"The beggar-woman came to a door, ",5,"La mendiante arriva devant une porte, ",
,,,,,and there by the fire a friendly rogue of a boy was standing warming himself. ,6,"et c'est là, près du feu, qu'un petit voyou sympathique se réchauffait. ",
,,,,,"The boy said kindly to the poor old woman as she was standing shivering thus by the door, ",7,"Le garçon dit gentiment à la pauvre vieille femme qui se tenait ainsi, grelottante, près de la porte, ",
,,,,,"Come, old mother, and warm yourself. ",8,"Viens, vieille mère, et réchauffe-toi. ",
,,,,,"She came in, but stood too near the fire, ",9,"Elle entra, mais se tint trop près du feu, ",
,,,,,"so that her old rags began to burn, ",10,"de sorte que ses vieux vêtements ont commencé à brûler, ",
,,,,,and she was not aware of it. ,11,et elle n'en était pas consciente. ,
,,,,,"The boy stood and saw that, but he ought to have put the flames out. ",12,"Le garçon est resté debout et a vu cela, mais il aurait dû éteindre les flammes. ",
,,,,,Is it not true that he ought to have put them out? ,13,N'est-il pas vrai qu'il aurait dû les éteindre ? ,
,,,,,"And if he had not any water, then should he have wept all the water in his body out of his eyes, ",14,"Et s'il n'avait pas d'eau, il aurait dû faire sortir de ses yeux toute l'eau de son corps, ",
,,,,,and that would have supplied two pretty streams with which to extinguish them.,15,et cela aurait fourni deux jolis ruisseaux pour les éteindre.,
