FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"A certain King had three sons who were all equally dear to him, ",1,"Un roi avait trois fils qui lui étaient tous aussi chers les uns que les autres, ",
,,,,,and he did not know which of them to appoint as his successor after his own death. ,2,et il ne savait pas lequel d'entre eux désigner comme son successeur après sa propre mort. ,
,,,,,"When the time came when he was about to die, ",3,"Le moment venu, il était sur le point de mourir, ",
,,,,,"he summoned them to his bedside and said, ",4,"il les appela à son chevet et leur dit, ",
,,,,,"Dear children, I have been thinking of something which I will declare unto you; ",5,"Chers enfants, j'ai pensé à quelque chose que je vais vous annoncer ; ",
,,,,,whichsoever of you is the laziest shall have the kingdom. ,6,celui d'entre vous qui sera le plus paresseux aura le royaume. ,
,,,,,"The eldest said, Then, father, the kingdom is mine, for I am so idle that if I lie down to rest, ",7,"L'aîné dit : Alors, mon père, le royaume est à moi, car je suis si paresseux que si je me couche pour me reposer, ",
,,,,,"and a drop falls in my eye, I will not open it that I may sleep. ",8,"et qu'une goutte tombe dans mon oeil, je ne l'ouvrirai pas pour dormir. ",
,,,,,"The second said; Father, ",9,"Le second a dit : ""Père"", ",
,,,,,"the kingdom belongs to me, for I am so idle that when I am sitting by the fire warming myself, ",10,"le royaume m'appartient, car je suis tellement oisif que lorsque je suis assis près du feu à me réchauffer, ",
,,,,,I would rather let my heel be burnt off than draw back my leg. ,11,Je préfère que mon talon soit brûlé plutôt que de retirer ma jambe. ,
,,,,,"The third said, Father, ",12,"Le troisième a dit : ""Père"", ",
,,,,,"the kingdom is mine, for I am so idle that if I were going to be hanged, ",13,"le royaume est à moi, car je suis tellement oisif que si je devais être pendu, ",
,,,,,"and had the rope already round my neck, ",14,"et j'avais déjà la corde autour du cou, ",
,,,,,"and any one put a sharp knife into my hand with which I might cut the rope, ",15,"et que quelqu'un me mette dans la main un couteau bien aiguisé avec lequel je puisse couper la corde, ",
,,,,,I would rather let myself be hanged than raise my hand to the rope. ,16,Je préfère me laisser pendre plutôt que de lever la main sur la corde. ,
,,,,,"When the father heard that, ",17,"Lorsque le père a entendu cela, ",
,,,,,"he said, Thou hast carried it the farthest, and shalt be King.",18,"il dit : C'est toi qui l'as portée le plus loin, et tu seras roi.",
