FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
"Dans des temps très anciens, ",,TRES TEMPS ANCIENS ,<unk>,,"In the old times,"
"alors qu'il pouvait encore être utile de faire des voeux,",,ALORS ENCORE UTILE VOEUX POUVOIR FAIRE ,['Imp'],,"when it was still of some use to wish for the thing one wanted,"
vivait un roi dont toutes les filles étaient belles. ,,ROI TOUTES FILLES BELLES VIVRE ,['Imp']['Imp'],,"there lived a King whose daughters were all handsome,"
"La plus jeune était si belle que le soleil, ",,PLUS SI JEUNE BELLE SOLEIL ,['Imp'],,"but the youngest was so beautiful that the sun himself,"
"qui en a cependant tant vu, ",,CEPENDANT TANT VU AVOIR ,['Pres'],,"who has seen so much,"
s'étonnait chaque fois qu'il illuminait son visage. ,,FOIS VISAGE ETONNER ILLUMINER ,['Imp']['Imp'],,wondered each time he shone over her because of her beauty.
"Non loin du château du roi, ",,NON LOIN CHATEAU ROI ,<unk>,,Near the royal castle there
"il y avait une grande et sombre forêt et, ",,GRANDE AVOIR SOMBRE FORET ,['Imp'],,"was a great dark wood, and"
"dans la forêt, ",,FORET ,<unk>,,in the wood
"sous un vieux tilleul, une fontaine. ",,VIEUX TILLEUL FONTAINE ,<unk>,,under an old linden-tree was a well;
"Un jour qu'il faisait très chaud, ",,TRES JOUR CHAUD FAIRE ,['Imp'],,"and when the day was hot,"
"la royale enfant partit dans le bois, ",,ROYALE ENFANT PARTIT BOIS ,<unk>,,the King's daughter used to go forth into the wood and
et s'assit au bord de la source fraîche. ,,BORD SOURCE FRAICHE ASSEOIR ,['Pres'],,"sit by the brink of the cool well,"
"Et comme elle s'ennuyait, ",,ENNUYER ,['Imp'],,"and if the time seemed long,"
"elle prit sa balle en or, ",,BALLE OR PRENDRE ,['Pres'],,"she would take out a golden ball,"
la jeta en l'air et la rattrapa; ,,JETA AIR RATTRAPA ,<unk>,,"and throw it up and catch it again,"
c'était son jeu favori.,,JEU FAVORI ,['Imp'],,and this was her favourite pastime.
"Il arriva que la balle d'or, ",,BALLE OR ARRIVER ,['Pres'],,"Now it happened one day that the golden ball, "
"au lieu de revenir dans sa main, ",,LIEU MAIN REVENIR ,,,"instead of falling back into the maiden's little hand which had sent it aloft, "
tomba sur le sol et roula tout droit dans l'eau. ,,SOL TOMBER TOUT DROIT EAU ROULER ,['Past']['Pres'],,dropped to the ground near the edge of the well and rolled in. 
"La princesse la suivit des yeux, mais la balle disparut: ",,PRINCESSE SUIVIT YEUX BALLE DISPARUT ,<unk>,,"The king's daughter followed it with her eyes as it sank, "
la fontaine était si profonde qu'on n'en voyait pas le fond. ,,SI PAS PAS FONTAINE FOND PROFONDE VOIR ,['Imp']['Pres']['Imp'],,"but the well was deep, so deep that the bottom could not be seen. "
"La jeune fille se mit à pleurer, ",,JEUNE FILLE METTRE PLEURER ,['Past'],,"Then she began to weep,"
à pleurer de plus en plus fort; ,,PLUS PLUS FORT PLEURER ,,,and she wept and wept
elle était inconsolable. ,,INCONSOLABLE ,['Imp'],,as if she could never be comforted.
"Comme elle gémissait ainsi, ",,AINSI GEMIR ,['Imp'],,And in the midst of her weeping
quelqu'un lui cria: ,,CRIA ,<unk>,,she heard a voice saying to her:
"Pourquoi pleures-tu, princesse,",,POURQUOI PLEURES TU PRINCESSE ,<unk>,,"What ails thee, king's daughter?"
si fort qu'une pierre s'en laisserait attendrir? ,,FORT PIERRE ATTENDRIR LAISSER ,['Imp'],,Thy tears would melt a heart of stone.
Elle regarda autour d'elle pour voir d'où venait la voix ,,AUTOUR VOIX REGARDER VOIR VENIR ,['Pres']['Imp'],,"And when she looked to see where the voice came from,"
et aperçut une grenouille ,,GRENOUILLE APERCEVOIR ,['Pres'],,there was nothing but a frog
qui tendait hors de l'eau sa tête grosse et affreuse. ,,EAU TETE GROSSE TENDRE AFFREUSE ,['Imp'],,stretching his thick ugly head out of the water.
"Ah! c'est toi, ",,AH TOI ,['Pres'],,"Oh, is it you,"
"vieille barboteuse! dit-elle,",,VIEILLE BARBOTEUSE DIRE ,['Pres'],,"old waddler? said she,"
je pleure ma balle d'or qui est tombée dans la fontaine.,,BALLE TOMBEE FONTAINE PLEURE ,['Pres']['Pres'],,I weep because my golden ball has fallen into the well.
"Tais-toi et ne pleure plus, ",,TAIS - TOI PAS PAS PLEURE ,['Pres'],,"Never mind, do not weep,"
"dit la grenouille, ",,GRENOUILLE DIRE ,['Past'],,"answered the frog,"
je vais t'aider. ,,T' ALLER AIDER ,['Pres'],,I can help you;
Mais que me donneras-tu si je te rapporte ton jouet? ,,- TU JOUET DONNER RAPPORTE ,['Pres']['Pres']['Pres'],,but what will you give me if I fetch up your ball again?
"Ce que tu voudras, ",,TU VOUDRAS ,<unk>,,"Whatever you like,"
"chère grenouille, ",,CHERE GRENOUILLE ,<unk>,,"dear frog,"
"répondit-elle, ",,REPONDRE ,['Pres'],,"said she,"
"mes habits, ",,HABITS ,<unk>,,"any of my clothes,"
mes perles et mes diamants et même la couronne d'or que je porte sur la tête. ,,PERLES DIAMANTS MEME COURONNE TETE PORTE ,['Pres'],,"my pearls and jewels, or even the golden crown that I wear."
"Je ne veux ni de tes perles, ni de tes diamants, ni de ta couronne. ",,PAS VEUX TES PERLES TES DIAMANTS COURONNE ,['Fut'],,"Thy clothes, thy pearls and jewels, and thy golden crown are not for me, answered the frog,"
"Mais, si tu acceptes de m'aimer, ",,TU ACCEPTES AIMER ,,,"but if thou wouldst love me,"
"si tu me prends comme compagne et camarade de jeux, ",,PAS PRENDS COMPAGNE JEUX CAMARADE ,['Past'],,"and have me for thy companion and play-fellow,"
"si je peux m'asseoir à ta table à côté de toi, ",,TABLE COTE TOI POUVOIR ASSEOIR ,['Pres'],,"and let me sit by thee at table,"
"manger dans ton assiette, ",,TON ASSIETTE MANGER ,,,"and eat from thy plate,"
boire dans ton gobelet et ,,TON GOBELET BOIRE ,,,"and drink from thy cup,"
"dormir dans ton lit, ",,LIT DORMIR ,<unk>,,"and sleep in thy little bed,"
"si tu me promets tout cela, ",,PAS TOUT PROMETTRE ,['Pres'],,"if thou wouldst promise all this,"
je plongerai au fond de la source et te rendrai ta balle. ,,FOND SOURCE PLONGER TA TE RENDRAI BALLE ,['Fut'],,then would I dive below the water and fetch thee thy golden ball again.
"Mais oui, dit-elle, ",,OUI DIRE ,['Pres'],,"Oh yes, she answered,"
je te promets tout ce que tu veux ,,TU PROMETS TOUT VEUX TE ,['Pres'],,"I will promise it all, whatever you want,"
à condition que tu me retrouves ma balle. ,,PAS CONDITION BALLE RETROUVER ,,,if you will only get me my ball again.
"Elle se disait: Elle vit là, ",,DIRE LA VOIR ,['Imp']['Pres'],,But she thought to herself: What nonsense he talks!
dans l'eau avec les siens et coasse. ,,EAU SIENS COASSE ,<unk>,,"As if he could do anything but sit in the water and croak with the other frogs,"
Comment serait-elle la compagne d'un être humain?,,COMMENT COMPAGNE ETRE HUMAIN ,['Pres'],,or could possibly be any one's companion.
"Quand la grenouille eut obtenu sa promesse, ",,GRENOUILLE PROMESSE OBTENIR ,['Past']['Past'],,"But the frog, as soon as he heard her promise,"
"elle mit la tête sous l'eau, ",,TETE EAU METTRE ,['Past'],,drew his head under the water
"plongea et, ",,PLONGEA ,<unk>,,"and sank down out of sight,"
"peu après, ",,PEU ,<unk>,,but after a while
réapparut en tenant la balle entre ses lèvres. ,,REAPPARUT BALLE LEVRES TENIR ,['Pres'],,"he came to the surface again with the ball in his mouth,"
Elle la jeta sur l'herbe. ,,JETA HERBE ,<unk>,,and he threw it on the grass.
"En retrouvant son beau jouet, la fille du roi fut folle de joie.",,BEAU JOUET RETROUVER FILLE ROI FOLLE JOIE ,['Pres']['Past'],,"The King's daughter was overjoyed to see her pretty plaything again,"
Elle le ramassa et partit en courant. ,,RAMASSA PARTIT COURANT ,<unk>,,and she caught it up and ran off with it.
Attends! Attends! cria la grenouille. ,,ATTENDS ATTENDS CRIA GRENOUILLE ,<unk>,,"Stop, stop! cried the frog,"
Emmène-moi! ,,EMMENE ,<unk>,,take me up too.
Je ne peux pas courir aussi vite que toi! ,,PAS PAS AUSSI VITE TOI POUVOIR COURIR ,['Pres'],,I cannot run as fast as you!
