FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Le chat fit la connaissance d'une souris.,,,,,"A cat had made the acquaintance of a mouse,"
Il l'assura si bien que ses sentiments envers elle étaient amicaux et chaleureux,,,,,and had said so much to her about the great love and friendship
"que la souris se laissa convaincre et finit par accepter de vivre avec le chat, sous le même toit.",,,,,"that he felt for her, that at last the mouse agreed that they should live and keep house together."
"Il nous faudra faire nos réserves de nourriture pour l'hiver,",,,,,"But we must make preparations for winter,"
"dit le chat,",,,,,"said the cat,"
sinon nous risquons de mourir de faim.,,,,,"else we shall suffer from hunger,"
"Toi, ma petite souris,",,,,,"and you, little mouse,"
"tu ne peux pas aller partout,",,,,,"cannot venture out everywhere,"
tu pourrais te faire prendre dans un piège.,,,,,or in the end you will be caught in a trap.
C'était une bonne idée.,,,,,"This good advice was followed,"
Ils achetèrent alors un petit pot de saindoux mais ne savaient pas où le cacher.,,,,,"and they bought a pot of fat, but they did not know where to store it."
"Ils réfléchirent longtemps et, finalement,",,,,,"Finally, after much consideration,"
le chat décida: Sais-tu ce que nous allons faire? Nous le cacherons dans l'église; on ne peut imaginer meilleure cachette!,,,,,"the cat said, I know of no place where it will be better stored up than in the church."
Personne n'oserait emporter quelque chose d'une église.,,,,,No one dares take anything away from there.
Nous poserons le pot sous l'autel et nous ne l'entamerons qu'en cas de nécessité absolue.,,,,,"We will put it beneath the altar, and not touch it until we are need it."
"Ils portèrent donc le pot en ce lieu sûr,",,,,,"So the pot was stored safely away,"
mais très vite le chat eut envie de saindoux.,,,,,"but it was not long before the cat took a great longing for it,"
Il dit à la souris:,,,,,"and said to the mouse,"
"Je voulais te dire, ma petite souris,",,,,,"I wanted to tell you, little mouse,"
ma cousine m'a demandé d'être le parrain de leur petit dernier.,,,,,"that my cousin has brought a little son into the world, and she has asked me to be his godfather."
"Ils ont eu un petit, blanc avec des taches marron et je dois le tenir pendant le baptême.",,,,,"He is white with brown spots, and I am to hold him over the baptismal font."
"Laisse-moi y aller, et occupe-toi aujourd'hui de la maison toute seule, veux-tu?",,,,,"Let me go out today, and you look after the house by yourself."
"Bien sûr, sans problème, acquiesça la souris,",,,,,"Yes, yes, answered the mouse."
"vas-y, si tu veux, et pense à moi quand tu mangeras des bonnes choses.",,,,,"By all means go, and if you get anything good to eat, think of me."
"J'aurais bien voulu, moi aussi, goûter de ce bon vin doux qu'on donne aux jeunes mamans.",,,,,I would like to drink a drop of sweet red christening wine myself.
Mais tout cela était faux;,,,,,"All this, however, was untrue."
le chat n'avait pas de cousine et personne ne lui avait demandé d'être parrain.,,,,,"The cat had no cousin, and had not been asked to be godfather."
"Il s'empressa d'aller à l'église,",,,,,"He went straight to the church,"
rampa jusqu'au petit pot de saindoux et lécha jusqu'à avoir mangé toute la graisse du dessus.,,,,,"crept up to the pot of fat, began to lick at it, and licked off the top of the fat."
"Ensuite, il partit se promener sur les toits pour voir ce qui se passait dans le monde,",,,,,"Then he went for a stroll on the roofs of the town,"
et puis surtout pour trouver encore quelque chose de bon à manger.,,,,,"looked out for opportunities,"
Puis il s'allongea au soleil.,,,,,"and then stretched out in the sun,"
"Et chaque fois qu'il se souvenait du petit pot de saindoux, il se léchait les babines et se caressait la moustache.",,,,,licking his whiskers whenever he thought of the pot of fat.
Il ne rentra à la maison que dans la soirée.,,,,,He did not return home until it was evening.
Te voilà enfin de retour! l'accueillit la petite souris.,,,,,"Well, here you are again, said the mouse."
T'es-tu bien amusé? Vous avez dù bien rire.,,,,,You must have had a happy day.
"Oui, ce n'était pas mal, répondit le chat.",,,,,"Everything went well, answered the cat."
Et quel nom avez-vous donné à ce chaton?,,,,,What name did they give the child?
demanda la souris.,,,,,asked the mouse.
"Sanledessu, répondit sèchement le chat.",,,,,"Top-Off, said the cat quite coolly."
"Sanledessu? chicota la souris, quel drôle de nom! Assez rare, dirais-je.",,,,,Top-Off? cried the mouse. That is a very odd and uncommon name.
Est-il courant dans votre famille?,,,,,Is it a usual one in your family?
"Tu peux dire ce que tu veux, rétorqua le chat,",,,,,What does that matter? said the cat.
"mais ce n'est pas pire que Volemiettes, le nom de tes filleuls.",,,,,"It is no worse than Crumb-Thief, as your godchildren are called."
"Peu de temps après,",,,,,Before long
le chat se sentit de nouveau l'eau venir à la bouche.,,,,,the cat was seized by another fit of longing.
"Sois gentille, supplia-t-il,",,,,,"He said to the mouse, You must do me a favor,"
