FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Un père avait deux fils;,,,,,"A certain father had two sons,"
le premier était réfléchi et intelligent;,,,,,"the elder of whom was smart and sensible,"
il savait se tirer de toute aventure.,,,,,"and could do everything,"
"Le cadet en revanche était sot,",,,,,but the younger was stupid
incapable de comprendre et d'apprendre.,,,,,"and could neither learn nor understand anything,"
"Quand les gens le voyaient,",,,,,and when people saw him 
"ils disaient: Avec lui, son père n'a pas fini d'en voir.",,,,,"they said, There's a fellow who will give his father some trouble!"
"Quand il y avait quelque chose à faire,",,,,,"When anything had to be done,"
"c'était toujours à l'aîné que revenait la tâche,",,,,,it was always the elder who was forced to do it;
"et si son père lui demandait d'aller chercher quelque chose, le soir ou même la nuit,",,,,,"but if his father bade him fetch anything when it was late, or in the night-time,"
"et qu'il fallait passer par le cimetière ou quelque autre lieu terrifiant, il répondait:",,,,,"and the way led through the churchyard, or any other dismal place, he answered"
"Oh non! père, je n'irai pas, j'ai peur.",,,,,"Oh, no, father, I'll not go there, it makes me shudder!"
Car il avait effectivement peur.,,,,,for he was afraid.
"Quand, à la veillée, on racontait des histoires à donner la chair de poule,",,,,,"Or when stories were told by the fire at night which made the flesh creep,"
ceux qui les entendaient disaient parfois:,,,,,the listeners sometimes said
Ça me donne le frisson!,,,,,"Oh, it makes us shudder!"
"Le plus jeune des fils, lui, assis dans son coin,",,,,,The younger sat in a corner
écoutait et n'arrivait pas à comprendre ce qu'ils voulaient dire.,,,,,"and listened with the rest of them, and could not imagine what they could mean."
Ils disent toujours: ,,,,,They are always saying
Ca me donne la chair de poule! ça me fait frissonner!,,,,,"it makes me shudder, it makes me shudder!"
"Moi, jamais! Voilà encore une chose à laquelle je ne comprends rien.",,,,,"It does not make me shudder, thought he. That, too, must be an art of which I understand nothing."
Il arriva qu'un jour son père lui dit:,,,,,Now it came to pass that his father said to him
"Écoute voir, toi, là dans ton coin!",,,,,"one day Hearken to me, thou fellow in the corner there,"
Tu deviens grand et fort.,,,,,"thou art growing tall and strong,"
Il est temps que tu apprennes à gagner ton pain.,,,,,and thou too must learn something by which thou canst earn thy living.
Tu vois comme ton frère se donne du mal.,,,,,"Look how thy brother works, but thou dost not even earn thy salt."
"Eh! père, répondit-il,",,,,,"Well, father, he replied,"
j'apprendrais bien volontiers.,,,,,"I am quite willing to learn something indeed,"
"Si c'était possible, je voudrais apprendre à frissonner.",,,,,"if it could but be managed, I should like to learn how to shudder."
C'est une chose que j'ignore totalement.,,,,,I don't understand that at all yet.
"Lorsqu'il entendit ces mots, l'aîné des fils songea:",,,,,"The elder brother smiled when he heard that, and thought to himself,"
Seigneur Dieu!,,,,,"Good God,"
quel crétin que mon frère!,,,,,what a blockhead that brother of mine is!
Il ne fera jamais rien de sa vie.,,,,,He will never be good for anything as long as he lives.
Le père réfléchit et dit: Tu apprendras bien un jour à avoir peur. Mais ce n'est pas comme ça que tu gagneras ton pain.,,,,,"He who wants to be a sickle must bend himself betimes. The father sighed, and answered him thou shalt soon learn what it is to shudder, but thou wilt not earn thy bread by that."
"Peu de temps après,",,,,,Soon after this
le bedeau vint en visite à la maison.,,,,,"the sexton came to the house on a visit,"
Le père lui conta sa peine et lui expliqua combien son fils était peu doué en toutes choses.,,,,,"and the father bewailed his trouble, and told him how his younger son was so backward in every respect that he knew nothing and learnt nothing."
Pensez voir!,,,,,"Just think, said he,"
"Quand je lui ai demandé comment il ferait pour gagner son pain,",,,,,"when I asked him how he was going to earn his bread,"
il a dit qu'il voulait apprendre à frissonner!,,,,,he actually wanted to learn to shudder.
"Si ce n'est que ça, répondit le bedeau, je le lui apprendrai.",,,,,"If that be all, replied the sexton, he can learn that with me."
