FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Il était une fois une vieille chèvre qui avait sept chevreaux et les aimait comme chaque mère aime ses enfants.,,,,,"There was once an old goat who had seven little ones, and was as fond of them as ever mother was of her children."
"Un jour, elle voulut aller dans la forêt pour rapporter quelque chose à manger,",,,,,"One day she had to go into the wood to fetch food for them,"
"elle les rassembla tous les sept et leur dit: Je dois aller dans la forêt, mes chers enfants.",,,,,"so she called them all round her. Dear children, said she, I am going out into the wood; and while I am gone,"
Faites attention au loup!,,,,,"be on your guard against the wolf,"
"S'il arrivait à rentrer dans la maison, il vous mangerait tout crus.",,,,,"for if he were once to get inside he would eat you up, skin, bones, and all."
"Ce bandit sait jouer la comédie,",,,,,"The wretch often disguises himself,"
"mais il a une voix rauque et des pattes noires, c'est ainsi que vous le reconnaîtrez.",,,,,but he may always be known by his hoarse voice and black paws.
"Ne t'inquiète pas, maman, répondirent les chevreaux, nous ferons attention. Tu peux t'en aller sans crainte.",,,,,"Dear mother, answered the kids, you need not be afraid, we will take good care of ourselves."
La vieille chèvre bêla de satisfaction et s'en alla.,,,,,"And the mother bleated good-bye, and went on her way with an easy mind."
"Peu de temps après,",,,,,It was not long before
quelqu'un frappa à la porte en criant:,,,,,"some one came knocking at the house-door, and crying out:"
"Ouvrez la porte, mes chers enfants,",,,,,"Open the door, my dear children,"
votre mère est là et vous a apporté quelque chose.,,,,,"your mother is come back, and has brought each of you something."
Mais les chevreaux reconnurent le loup à sa voix rude.,,,,,But the little kids knew it was the wolf by the hoarse voice.
"Nous ne t'ouvrirons pas, crièrent-ils.",,,,,"We will not open the door, cried they;"
Tu n'es pas notre maman.,,,,,"you are not our mother,"
Notre maman a une voix douce et agréable et ta voix est rauque.,,,,,"she has a delicate and sweet voice, and your voice is hoarse;"
Tu es un loup!,,,,,you must be the wolf.
Le loup partit chez le marchand et y acheta un grand morceau de craie.,,,,,"Then off went the wolf to a shop and bought a big lump of chalk,"
Il mangea la craie et sa voix devint plus douce.,,,,,and ate it up to make his voice soft.
"Il revint ensuite vers la petite maison, frappa et appela à nouveau:",,,,,"And then he came back, knocked at the house-door, and cried:"
"Ouvrez la porte,",,,,,"Open the door,"
"mes chers enfants,",,,,,"my dear children,"
votre maman est de retour et vous a apporté pour chacun un petit quelque chose.,,,,,"your mother is here, and has brought each of you something."
Mais tout en parlant il posa sa patte noire sur la fenêtre;,,,,,"But the wolf had put up his black paws against the window,"
les chevreaux l'aperçurent et crièrent:,,,,,"and the kids seeing this, cried out,"
Nous ne t'ouvrirons pas! Notre maman n'a pas les pattes noires comme toi.,,,,,We will not open the door; our mother has no black paws like you;
Tu es un loup!,,,,,you must be the wolf.
Et le loup courut chez le boulanger et dit:,,,,,"The wolf then ran to a baker. Baker, said he,"
"Je me suis blessé à la patte, enduis-la-moi avec de la pâte.",,,,,I am hurt in the foot; pray spread some dough over the place.
Le boulanger lui enduisit la patte et le loup courut encore chez le meunier.,,,,,"And when the baker had plastered his feet, he ran to the miller."
Verse de la farine blanche sur ma patte! commanda-t-il.,,,,,"Miller, said he, strew me some white meal over my paws."
"Le loup veut duper quelqu'un, pensa le meunier, et il fit des manières.",,,,,"But the miller refused, thinking the wolf must be meaning harm to some one."
"Mais le loup dit: Si tu ne le fais pas, je te mangerai.",,,,,"If you don't do it, cried the wolf, I'll eat you up!"
Le meunier eut peur et blanchit sa patte.,,,,,And the miller was afraid and did as he was told.
"Eh oui, les gens sont ainsi!",,,,,And that just shows what men are.
"Pour la troisième fois le loup arriva à la porte de la petite maison,",,,,,And now came the rogue the third time to the door and knocked.
"frappa et cria: Ouvrez la porte, mes chers petits,",,,,,"Open, children! cried he."
maman est de retour de la forêt et vous a apporté quelque chose.,,,,,"Your dear mother has come home, and brought you each something from the wood."
"Montre-nous ta patte d'abord,",,,,,"First show us your paws,"
"crièrent les petits,",,,,,"said the kids,"
que nous sachions si tu es vraiment notre maman.,,,,,so that we may know if you are really our mother or not.
"Le loup posa sa patte sur le rebord de la fenêtre,",,,,,"And he put up his paws against the window,"
"et lorsque les chevreaux virent qu'elle était blanche,",,,,,"and when they saw that they were white,"
ils crurent tout ce qu'il avait dit et ouvrirent la porte.,,,,,"all seemed right, and they opened the door."
Mais c'est un loup qui entra.,,,,,"And when he was inside they saw it was the wolf,"
Les chevreaux prirent peur et voulurent se cacher.,,,,,and they were terrified and tried to hide themselves.
"L'un sauta sous la table,",,,,,"One ran under the table,"
"un autre dans le lit,",,,,,"the second got into the bed,"
"le troisième dans le poêle,",,,,,"the third into the oven,"
"le quatrième dans la cuisine,",,,,,"the fourth in the kitchen,"
"le cinquième s'enferma dans l'armoire,",,,,,"the fifth in the cupboard,"
le sixième se cacha sous le lavabo et,,,,,"the sixth under the sink,"
le septième dans la pendule.,,,,,the seventh in the clock-case.
"Mais le loup les trouva et ne traîna pas: il avala les chevreaux, l'un après l'autre.",,,,,"But the wolf found them all, and gave them short shrift; one after the other he swallowed down,"
Le seul qu'il ne trouva pas était celui caché dans la pendule.,,,,,"all but the youngest, who was hid in the clock-case."
"Lorsque le loup fut rassasié, il se retira, se coucha sur le pré vert et s'endormit.",,,,,"And so the wolf, having got what he wanted, strolled forth into the green meadows, and laying himself down under a tree, he fell asleep."
"Peu de temps après,",,,,,"Not long after,"
