FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Il était une fois un vieux roi qui tomba malade.,,,,,"There was once on a time an old king who was ill,"
"Sentant qu'il allait mourir,",,,,,"and thought to himself, I am lying on what must be my death-bed."
"il fit appeler le fidèle Jean : c'était son plus cher serviteur,",,,,,"Then said he, Tell Faithful John to come to me. Faithful John was his favourite servant,"
et on le nommait ainsi parce que toute sa vie il avait été fidèle à son maître.,,,,,"and was so called, because he had for his whole life long been so true to him."
"Quand il fut venu,",,,,,"When therefore he came beside the bed,"
"le roi lui dit: Mon fidèle Jean,",,,,,"the King said to him, Most faithful John,"
"je sens que ma fin s'approche, je n'ai de souci qu'en songeant à mon fils;",,,,,"I feel my end approaching, and have no anxiety except about my son."
il est encore bien jeune; il ne saura pas toujours se diriger;,,,,,"He is still of tender age, and cannot always know how to guide himself."
"je ne mourrai tranquille que si tu me promets de veiller sur lui, de l'instruire de tout ce qu'il doit savoir, et d'être pour lui un second père.",,,,,"If thou dost not promise me to teach him everything that he ought to know, and to be his foster-father, I cannot close my eyes in peace."
"Je vous promets, répondit Jean, de ne pas l'abandonner; je le servirai fidèlement, dût-il m'en coûter la vie.",,,,,"Then answered Faithful John, I will not forsake him, and will serve him with fidelity, even if it should cost me my life."
"Je peux donc mourir en paix, dit le vieux roi.",,,,,"On this, the old King said, Now I die in comfort and peace."
"Après ma mort, tu lui feras voir tout le palais,",,,,,"Then he added, After my death, thou shalt show him the whole castle:"
"toutes les chambres, les salles, les souterrains avec les richesses qui y sont renfermées;",,,,,"all the chambers, halls, and vaults, and all the treasures which lie therein,"
"seulement tu ne le laisseras pas entrer dans la dernière chambre de la grande galerie, où se trouve le portrait de la princesse du Dôme d'or.",,,,,"but the last chamber in the long gallery, in which is the picture of the princess of the Golden Dwelling, shalt thou not show."
"Car, s'il voit ce tableau, il ressentira pour elle un amour irrésistible",,,,,"If he sees that picture, he will fall violently in love with her,"
qui lui fera courir les plus grands dangers.,,,,,"and will drop down in a swoon, and go through great danger for her sake,"
Tâche de l'en préserver.,,,,,therefore thou must preserve him from that.
