FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Il y avait une fois un roi et une reine qui vivaient ensemble en bonne intelligence.,,,,,There were once on a time a king and a queen who lived happily together
"Ils avaient douze enfants, mais c'étaient douze garçons.",,,,,"and had twelve children, but they were all boys."
Un jour le roi dit à la reine:,,,,,"Then said the King to his wife,"
"Si le treizième enfant que tu me promets est une fille,",,,,,"If the thirteenth child which thou art about to bring into the world, is a girl,"
"les douze garçons devront mourir,",,,,,"the twelve boys shall die,"
"afin que l'héritage de leur soeur soit considérable,",,,,,"in order that her possessions may be great,"
et que le royaume tout entier lui appartienne.,,,,,and that the kingdom may fall to her alone.
Il fit donc construire douze cercueils qu'on remplit de copeaux;,,,,,"He caused likewise twelve coffins to be made, which were already filled with shavings,"
"dans que le petit coussin pour le mort,",,,,,"and in each lay the little pillow for the dead,"
"puis le roi les fit transporter dans un cabinet bien fermé,",,,,,"and he had them taken into a locked-up room,"
"dont il donna la clef à la reine,",,,,,"and then he gave the Queen the key of it,"
en lui recommandant de n'en rien dire à personne.,,,,,and bade her not to speak of this to any one.
"Cependant, la mère était en proie à un violent chagrin.",,,,,"The mother, however, now sat and lamented all day long,"
"Le plus jeune de ses fils,",,,,,"until the youngest son,"
"qui était toujours avec elle,",,,,,"who was always with her,"
"à qui elle avait donné le nom de Benjamin, de la Bible,",,,,,"and whom she had named Benjamin, from the Bible,"
s'aperçut de sa peine et lui dit:,,,,,"said to her, "
"Ma bonne mère, pourquoi es-tu si triste?",,,,,"Dear mother, why art thou so sad?"
"Cher enfant, lui répondit-elle, je ne dois pas te le dire.",,,,,"Dearest child, she answered, I may not tell thee."
"Mais l'enfant ne lui laissa point de repos, qu'elle ne l'eût conduit au cabinet mystérieux,",,,,,"But he let her have no rest until she went and unlocked the room,"
et qu'elle ne lui eût montré les douze cercueils remplis de copeaux:,,,,,and showed him the twelve coffins ready filled with shavings.
"Mon bien-aimé Benjamin, lui dit-elle,",,,,,"Then she said, my dearest Benjamin,"
"ton père a fait construire ces cercueil pour tes onze frères et pour toi,",,,,,"thy father has had these coffins made for thee and for thy eleven brothers,"
"car si je mets au monde une petite fille,",,,,,"for if I bring a little girl into the world,"
vous devez tous mourir et être ensevelis là.,,,,,you are all to be killed and buried in them.
"Et comme elle pleurait,",,,,,"And as she wept while she was saying this,"
