FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Le coq dit à la poule :,COQ POULE COQ DIRE,POULE DIRE ,['Pres'],,"The cock once said to the hen, "
Voici la saison des noix;,VOILA SAISON NOIX,SAISON NOIX VOICI ,,,"It is now the time when our nuts are ripe, "
il faut aller sur la côte avant que l'écureuil les ait toutes récoltées.,VITE ALLER COTE AVANT ECUREUIL RAMASSER,COTE AIT TOUTES FALLOIR ALLER RECOLTER ,['Pres']['Past'],,so let us go to the hill together and for once eat our fill before the squirrel takes them all away. 
"Bonne idée, répondit poule,",POULE REPONDRE BONNE IDEEE,BONNE IDEE POULE REPONDRE ,['Pres'],,"Yes, replied the hen, "
partons; nous allons bien nous divertir.,ALLER ON Y VA ON S'AMUSER,PARTONS BIEN ALLER DIVERTIR ,['Pres'],,"come, we will have some pleasure together. "
Ils allèrent ensemble sur la côte,ENSEMBLER MARCHER COTE,ENSEMBLE COTE ALLER ,['Pres'],,"Then they went away to the hill, "
et y restèrent jusqu'au soir.,RESTER SOIR,SOIR RESTER ,['Pres'],,and on it was a bright day they stayed till evening. 
"Alors, soit parce qu'ils avaient trop mangé,",ALORS SOIT TROP MANGER,ALORS SOIT TROP AVOIR MANGER ,['Imp']['Past'],,"Now I do not know whether it was that they had eaten till they were too fat, "
"soit par vanité,",SOIT FIER,VANITE ,<unk>,,"or whether they had become proud, "
"ils ne voulurent pas retourner à pied chez eux,",PAS VOULOIR RENTRER PIED MAISON EUX,PAS PAS PIED VOULOIR RETOURNER ,['Pres'],,"but they would not go home on foot, "
et le coq fut obligé de fabriquer une petite voiture avec des coquilles de noix.,COQ DECIDER NOIX COQUILLES FABRIQUER VOITURE PETITE ,PETITE VOITURE COQUILLES NOIX OBLIGER FABRIQUER ,['Past']['Past'],,and the cock had to build a little carriage of nut-shells. 
"Quand elle fut prête,",PRETE,PRETE ,['Past']['Past'],,"When it was ready, "
la poule monta dedans et dit au coq de s'atteler au timon.,POULE VOITURE MONTER DIRE COQ TOI TIRER VOITURE,POULE DEDANS MONTER COQ TIMON DIRE ATTELER ,['Past']['Past'],,"the little hen seated herself in it and said to the cock, "
Et pour qui me prends-tu?,COQ CHOQUE REPONDRE TOI PENSER MOI QUOI?,ME PRENDS - TU ,<unk>,,Thou canst just harness thyself to it. 
"répondit le coq, j'aimerais mieux m'en retourner à pied que de m'atteler comme un cheval;",PREFERE RENTRER PIED SEUL QUE TIRER,COQ REPONDRE MIEUX PIED CHEVAL AIMER RETOURNER ATTELER ,['Pres']['Imp'],,"I like that! said the cock, I would rather go home on foot than let myself be harnessed to it; "
"non, cela n'est pas dans nos conventions:",MES PRINCIPES REFUSER,NON PAS PAS CONVENTIONS ETRE ,['Pres'],,"no, that is not our bargain. "
je veux bien être cocher et m'asseoir sur le siège;,COCHER ASSOIR SIEGE OUI,BIEN VOULOIR COCHER SIEGE ASSEOIR ,['Pres'],,"I do not mind being coachman and sitting on the box, "
"mais traîner moi-même la voiture, c'est ce que je ne ferai pas.",MOI TIRER VOITURE REFUSER,MEME VOITURE TRAINER PAS PAS FERAI ,['Pres'],,but drag it myself I will not.
