FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Il était une fois un mari et sa femme,FOIS MARI SA FEMME,FOIS MARI FEMME ,['Imp'],,"There once lived a man and his wife,"
"qui avaient depuis longtemps désiré avoir un enfant,",TOUS LES DEUX DESIRER ENFANT,LONGTEMPS ENFANT DESIRER AVOIR ,['Imp']['Past'],,"who had long wished for a child, but in vain."
quand enfin la femme fut dans l'espérance et pensa que le Bon Dieu avait bien voulu accomplir son voeu le plus cher.,ENFIN BON DIEU ECOUTER FEMME NAITRE BEBE,ENFIN FEMME ESPERANCE BIEN PLUS PENSA BON DIEU VOEU CHER VOULOIR ACCOMPLIR ,['Past']['Imp']['Past'],,when finally the woman was in hope and thought that the Good Lord had wanted to fulfill her dearest wish.
"Sur le derrière de leur maison, ils avaient une petite fenêtre qui donnait sur un magnifique jardin où poussaient les plantes et les fleurs les plus belles;",MAISON DERRIERE FENETRE POUSSER PLANTES FLEURS,DERRIERE MAISON PETITE FENETRE MAGNIFIQUE JARDIN PLANTES AVOIR DONNER POUSSER PLUS FLEURS BELLES ,['Imp']['Pres']['Pres'],,Now there was at the back of their house a little window which overlooked a beautiful garden full of the finest vegetables and flowers;
"mais il était entouré d'un haut mur,",JARDIN MUR HAUT,HAUT MUR ENTOURER ,['Imp']['Past'],,"but there was a high wall all round it,"
et nul n'osait s'aventurer à l'intérieur,PERSONNE OSER FRANCHIR MUR,PAS NUL INTERIEUR OSER AVENTURER ,['Imp'],,"and no one ventured into it,"
parce qu'il appartenait à une sorcière douée d'un grand pouvoir,PARCE QUE QUOI LIEU APPARTENIR SORCIERE GRAND POUVOIR,SORCIERE GRAND POUVOIR APPARTENIR DOUER ,['Imp']['Past'],,"for it belonged to a witch of great might,"
et que tout le monde craignait.,TOUT LE MONDE PEUR ELLE,TOUT MONDE CRAINDRE ,['Imp'],,and of whom all the world was afraid.
Un jour donc que la femme se tenait à cette fenêtre,JOUR DAME FENETRE TENIR ,DONC JOUR FEMME FENETRE TENIR ,['Imp'],,"One day that the wife was standing at the window,"
"et admirait le jardin en dessous,",JARDIN BAS ADMIRER,JARDIN DESSOUS ADMIRER ,['Imp'],,"and looking into the garden,"
elle vit un parterre planté de superbes raiponces,VOIR FLEURS RAIPONCE ,PARTERRE SUPERBES RAIPONCES VOIR PLANTER ,['Pres']['Past'],,she saw a bed filled with the finest rampion;
"avec des rosettes de feuilles si vertes et si luisantes, si fraîches et si appétissantes, que l'eau lui en vint à la bouche",FEUILLES VERTE BRILLANTES FRAICHE ENVIE MANGER BAVER,ROSETTES FEUILLES VERTES LUISANTES FRAICHES APPETISSANTES EAU BOUCHE VENIR ,['Pres'],,and it looked so fresh and green that she began to wish for some;
Cette envie qu'elle en avait ne faisait que croître,ENVIE PLUS EN PLUS,PAS QUE ENVIE CROITRE FAIRE ,['Imp']['Imp'],,and at length she longed for it greatly.
et grandir de jour en jour;,TOUS LES JOURS,JOUR JOUR GRANDIR ,,,"This went on for days,"
"mais comme elle savait aussi qu'elle ne pourrait pas en avoir,",SAVOIR IMPOSSIBLE MANGER,AUSSI PAS PAS SAVOIR POUVOIR AVOIR ,['Imp']['Pres'],,"and as she knew she could not get the rampion,"
"elle tomba en mélancolie et commença à dépérir, maigrissant et pâlissant toujours plus.",MALHEUREUSE DEPRESSION MAIGRIR PALE PIRE EN PIRE,MELANCOLIE TOMBER COMMENCER DEPERIR MAIGRIR TOUJOURS PLUS PALIR ,['Past']['Past']['Pres']['Pres'],,"she pined away, and grew pale and miserable."
"En la voyant si bas, son mari s'inquiéta et lui demanda:",SON MARI INQUIETER VOIR SA FEMME MALADE DEMANDER,VOYANT BAS MARI INQUIETER DEMANDA ,,,"Then the man was uneasy, and asked,"
"Mais que t'arrive-t-il donc, ma chère femme?",QU'EST QU'IL SE PASSE ?,T' DONC ARRIVE CHERE FEMME ,['Pres'],,"What is the matter, dear wife?"
"Ah! lui répondit-elle,",AH ! REPONDRE SA FEMME,AH REPONDRE ,['Pres'],,"Oh, answered she,"
je vais mourir si je ne peux pas manger des raiponces du jardin de derrière chez nous!,PAS MANGER RAIPONCE DEVANT MOI MOURIR,PAS PAS RAIPONCES JARDIN ALLER MOURIR POUVOIR MANGER ,['Pres']['Pres'],,I shall die unless I can have some of that rampion to eat that grows in the garden at the back of our house.
Le mari aimait fort sa femme ,MARI AIMER FORT SA FEMME,FORT MARI FEMME AIMER ,['Imp'],,"The man, who loved her very much,"
et pensa:,PENSER,PENSA ,<unk>,,"thought to himself,"
"Plutôt que de la laisser mourir, je lui apporterai de ces raiponces,",LAISSER MOURIR NON MOI APPORTER FLEURS ELLE,PLUTOT LAISSER MOURIR RAIPONCES APPORTER ,['Past'],,"Rather than lose my wife I will get some rampion,"
quoi qu'il puisse m'en coûter!,MEME SI MOI MOURIR,POUVOIR COUTER ,['Pres'],,cost what it will.
"Le jour même, après le crépuscule, il escalada le mur du jardin de la sorcière,",MEME JOUR SOLEIL COUCHE MURE ESCALADER CHEZ SORCIERE,MEME JOUR CREPUSCULE MUR JARDIN SORCIERE ESCALADER ,['Pres'],,"So in the twilight he climbed over the wall into the witch's garden,"
"y prit en toute hâte une, pleine main de raiponces qu'il rapporta à son épouse.",VITE VITE ATTRAPER FLEUR APPORTER SA FEMME,HATE PRENDRE PLEINE MAIN RAIPONCES EPOUSE RAPPORTER ,['Pres'],,plucked hastily a handful of rampion and brought it to his wife.
"La femme s'en prépara immédiatement une salade,",SA FEMME PREPARER SALADE,IMMEDIATEMENT FEMME SALADE PREPARER ,,,"She made a salad of it at once,"
qu'elle mangea avec une grande avidité.,MANGER VITE ,GRANDE AVIDITE MANGER ,['Past'],,and ate of it to her heart's content.
Mais c'était si bon et cela lui avait tellement plu ,DELICIEUX ADORER,SI BON TELLEMENT PLEUVOIR ,['Imp']['Imp']['Past'],,"But she liked it so much, and it tasted so good,"
"que le lendemain,",DEMAIN,LENDEMAIN ,<unk>,,that the next day 
"au lieu que son envie fût satisfaite, elle avait triplé.",REPUS NON ENCORE PLUS ENVIE,LIEU ENVIE FUT SATISFAIRE TRIPLER ,['Pres']['Imp']['Past'],,she longed for it thrice as much as she had done before;
