FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Il était un homme,,,,,"There was once a man,"
"dont la femme mourut,",,,,,"whose wife was dead,"
et une femme,,,,,"and a woman,"
dont le mari mourut;,,,,,whose husband was dead;
"et l'homme avait une fille,",,,,,"and the man had a daughter,"
et la femme avait une fille.,,,,,and so had the woman.
Les petites filles se connaissaient,,,,,"The girls were acquainted with each other,"
et allaient se promener ensemble et rentraient ensuite à la maison de la femme.,,,,,and used to play together sometimes in the woman's house.
Alors elle dit à la fille de l'homme:,,,,,"So the woman said to the man's daughter,"
"Ecoute, ",,,,,"Listen to me,"
"dis à ton père que je veux l'épouser,",,,,,"tell your father that I will marry him,"
"alors tu auras chaque matin du lait pour te laver et du vin à boire,",,,,,"and then you shall have milk to wash in every morning and wine to drink,"
tandis que ma fille se lavera dans de l'eau et boira de l'eau.,,,,,and my daughter shall have water to wash in and water to drink.
La petite fille rentra chez elle et raconta à son père ce que la femme avait dit.,,,,,The girl went home and told her father what the woman had said.
L'homme dit:,,,,,"The man said,"
Que dois-je faire?,,,,,What shall I do!
Le mariage est une joie,,,,,"Marriage is a joy,"
et aussi un tourment.,,,,,and also a torment.
"Pour finir,",,,,,"At last,"
"comme il ne parvenait pas à se décider,",,,,,"as he could come to no conclusion,"
il retira sa botte ,,,,,"he took off his boot,"
et dit à sa fille: ,,,,,"and said to his daughter,"
"Prends cette botte,",,,,,"Take this boot,"
"la semelle en est percée,",,,,,it has a hole in the sole;
"va au grenier,",,,,,"go up with it into the loft,"
pends-la au gros clou et verse de l'eau dedans.,,,,,hang it on the big nail and pour water in it.
"Si elle ne fuit pas,",,,,,"If it holds water,"
"je me remarierai,",,,,,I will once more take to me a wife;
"mais si elle fuit, je refuse.",,,,,"if it lets out the water, so will I not."
La fillette fit ce qu'il lui avait ordonné: ,,,,,"The girl did as she was told,"
mais sous l'effet de l'eau le trou se resserra ,,,,,"but the water held the hole together,"
et la botte se remplit jusqu'au bord. ,,,,,and the boot was full up to the top.
Elle rapporta à son père ce que le sort avait décidé. ,,,,,So she went and told her father how it was.
Alors il monta voir lui-même ,,,,,"And he went up to see with his own eyes,"
et il constata que c'était vrai; ,,,,,"and as there was no mistake about it,"
il alla demander la veuve en mariage ,,,,,"he went to the widow and courted her,"
et les noces eurent lieu.,,,,,and then they had the wedding.
"Le lendemain, quand les deux jeunes filles se lévèrent,",,,,,"The next morning, when the two girls awoke,"
