FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Il était une jeune fille paresseuse qui ne voulait pas filer. ,,,,,"There was once a girl who was lazy and would not spin,"
"Sa mère avait beau se mettre en colère, ",,,,,"and her mother could not persuade her to it, "
elle n'en pouvait rien tirer. ,,,,,do what she would.
Un jour elle en perdit tellement patience,,,,,"At last the mother became angry and out of patience,"
"qu'elle alla jusqu'à lui donner des coups,",,,,,"and gave her a good beating,"
et la fille se mit à pleurer tout haut.,,,,,so that she cried out loudly.
Justement la reine passait par là;,,,,,At that moment the Queen was going by;
"en entendant les pleurs, elle fit arrêter sa voiture,",,,,,"as she heard the crying, she stopped;"
"et, entrant dans la maison,",,,,,"and, going into the house, "
elle demanda à la mère pourquoi elle frappait sa fille,,,,,"she asked the mother why she was beating her daughter,"
si durement que les cris de l'enfant s'entendaient jusque dans la rue.,,,,,so that every one outside in the street could hear her cries.
"La femme eut honte de révéler la paresse de sa fille, ",,,,,"The woman was ashamed to tell of her daughter's laziness, "
et elle dit:  ,,,,,"so she said,"
Je ne peux pas lui ôter son fuseau; ,,,,,I cannot stop her from spinning;
"elle veut toujours et sans cesse filer, ",,,,,"she is for ever at it,"
et dans ma pauvreté je ne peux pas suffire à lui fournir du lin.,,,,,and I am poor and cannot furnish her with flax enough.
La reine répondit:  ,,,,,"Then the Queen answered,"
Rien ne me plaît plus que la quenouille; ,,,,,"I like nothing better than the sound of the spinning-wheel,"
le bruit du rouet me charme; ,,,,,and always feel happy when I hear its humming;
donnez-moi votre fille dans mon palais; ,,,,,let me take your daughter with me to the castle
j'ai du lin en quantité; ,,,,,"I have plenty of flax, "
elle y filera tant qu'elle voudra.,,,,,she shall spin there to her heart's content.
"La mère y consentit de tout son coeur, ",,,,,"The mother was only too glad of the offer, "
et la reine emmena la jeune fille.,,,,,and the Queen took the girl with her.
"Quand on fut arrivé au palais, elle la conduisit dans trois chambres qui étaient remplies du plus beau lin depuis le haut jusqu'en bas.",,,,,When they reached the castle the Queen showed her three rooms which were filled with the finest flax as full as they could hold.
"File-moi tout ce lin, lui dit-elle, ",,,,,"Now you can spin me this flax, said she,"
"et quand tout sera fini, ",,,,,and when you can show it me all done 
je te ferai épouser mon fils aîné. ,,,,,you shall have my eldest son for bridegroom;
"Ne t'inquiète pas de ta pauvreté, ",,,,,"you may be poor, but I make nothing of that"
ton zèle pour le travail te sera une dot suffisante.,,,,,your industry is dowry enough.
"La jeune fille ne dit rien, mais intérieurement elle était consternée;",,,,,"The girl was inwardly terrified,"
"elle ne pourrait pas venir à bout de ces énormes tas d'étoupe,",,,,,"for she could not have spun the flax,"
"eût-elle pu vivre une centaire d'années,",,,,,"even if she were to live to be a hundred years old,"
et filer depuis le matin jusqu'au soir.,,,,,and were to sit spinning every day of her life from morning to evening.
"Quant elle fut seule, elle se mit à pleurer,",,,,,"And when she found herself alone she began to weep,"
et resta ainsi trois jours sans faire oeuvre de ses doigts.,,,,,and sat so for three days without putting her hand to it.
"Le troisième jour, la reine vint la visiter;",,,,,"On the third day the Queen came,"
elle fut fort étonnée en voyant qu'il n'y avait rien de fait;,,,,,and when she saw that nothing had been done of the spinning she was much surprised;
mais la jeune fille s'excusa en alléguant son chagrin d'avoir quitté sa mère.,,,,,but the girl excused herself by saying that she had not been able to begin because of the distress she was in at leaving her home and her mother.
La reine voulut bien se contenter de cette raison;,,,,,"The excuse contented the Queen, who said, "
mais elle dit en s'en allant:,,,,,"however, as she went away,"
"Allons, il faut commencer demain à travailler.",,,,,Tomorrow you must begin to work.
"Quand la jeune fille se retrouva seule, ne sachant plus que faire, ",,,,,"When the girl found herself alone again she could not tell how to help herself or what to do,"
"dans son trouble, elle se mit à la fenêtre, ",,,,,and in her perplexity she went and gazed out of the window.
"et elle vit venir à elle trois femmes, ",,,,,"There she saw three women passing by,"
dont la première avait un grand pied plat; ,,,,,"and the first of them had a broad flat foot, "
la seconde une lèvre inférieure si grande et si tombante qu'elle couvrait et dépassait le menton; ,,,,,"the second had a big under-lip that hung down over her chin,"
"et la troisième, un pouce large et aplati. ",,,,,and the third had a remarkably broad thumb.
"Elles se plantèrent devant la fenêtre, ",,,,,"They all of them stopped in front of the window,"
"les yeux tournés vers la chambre, et demandèrent à la jeune fille ce qu'elle voulait. ",,,,,and called out to know what it was that the girl wanted.
Elle leur conta ses chagrins;,,,,,"She told them all her need,"
"les trois femmes lui offrirent de l'aider.  Si tu nous promets,",,,,,"and they promised her their help, and said,"
"lui dirent-elles, de nous inviter à ta noce,",,,,,"Then will you invite us to your wedding,"
"de nous nommer tes cousines sans rougir de nous,",,,,,"and not be ashamed of us, and call us your cousins, "
"et de nous faire asseoir à ta table, ",,,,,and let us sit at your table;
"si tu peux nous le promettre,",,,,,"if you will promise this, "
"nous allons te filer ton lin, et ce sera bientôt fini.",,,,,we will finish off your flax-spinning in a very short time.
"De tout mon coeur, répondit-elle;",,,,,"With all my heart, answered the girl; "
"entrez, et commencez tout de suite.",,,,,"only come in now, and begin at once."
Elle introduisit ces trois singulières femmes ,,,,,"Then these same women came in,"
et débarrassa une place dans la première chambre pour les installer; ,,,,,and she cleared a space in the first room for them to sit 
elles se mirent à l'ouvrage. ,,,,,and carry on their spinning.
La première filait l'étoupe et faisait tourner le rouet;,,,,,"The first one drew out the thread and moved the treddle that turned the wheel,"
la seconde mouillait le fil;,,,,,"the second moistened the thread, "
la troisième le tordait,,,,,"the third twisted it,"
"et l'appuyait sur la table avec son pouce,",,,,,"and rapped with her finger on the table,"
"et, à chaque coup de pouce qu'elle donnait, il y avait par terre un écheveau de fil le plus fin.",,,,,"and as often as she rapped a heap of yarn fell to the ground,"
et c’était tellement joliment filé.,,,,,and it was most beautifully spun.
"Chaque fois que la reine entrait, la jeune fille cachait ses fileuses et lui montrait ce qu'il y avait de travail de fait, et la reine n'en revenait pas d'admiration.",,,,,"But the girl hid the three spinsters out of the Queen's sight, and only showed her, as often as she came, the heaps of well-spun yarn; and there was no end to the praises she received."
"Quand la première chambre fut vidée, elles passèrent à la seconde,",,,,,"When the first room was empty they went on to the second,"
"puis à la troisième, qui fut bientôt terminée aussi.",,,,,"and then to the third, so that at last all was finished."
Alors les trois femmes s'en allèrent en disant à la jeune fille:,,,,,"Then the three women took their leave, saying to the girl,"
N'oublie pas ta promesse;,,,,,"Do not forget what you have promised,"
tu t'en trouveras bien.,,,,,and it will be all the better for you.
Lorsque la jeune fille eut montré à la reine les chambres vides ,,,,,"So when the girl took the Queen and showed her the empty rooms,"
"et le lin filé,",,,,,"and the great heaps of yarn, "
on fixa le jour des noces.,,,,,"the wedding was at once arranged,"
"Le prince était ravi d'avoir une femme si habile et si active,",,,,,"and the bridegroom rejoiced that he should have so clever and diligent a wife,"
et il l'aimait avec ardeur.,,,,,and praised her exceedingly.
"J'ai trois cousines, dit-elle,",,,,,"I have three cousins, said the girl,"
"qui m'ont fait beaucoup de bien,",,,,,"and as they have shown me a great deal of kindness,"
et que je ne voudrais pas négliger dans mon bonheur;,,,,,I would not wish to forget them in my good fortune;
permettez-moi de les inviter à ma noce,,,,,"may I be allowed to invite them to the wedding,"
et de les faire asseoir à notre table.,,,,,and to ask them to sit at the table with us?
La reine et le prince n'y virent aucun empêchement.,,,,,"The Queen and the bridegroom said at once, There is no reason against it."
"Le jour de la fête, les trois femmes arrivèrent en équipage magnifique,",,,,,"So when the feast began in came the three spinsters in strange guise,"
"et la mariée leur dit:  Chères cousines, soyez les bienvenues.",,,,,"and the bride said, Dear cousins, you are welcome."
"Ah! lui dit le prince, tu as là des parentes bien laides.",,,,,"Oh, said the bridegroom, how come you to have such dreadfully ugly relations?"
Puis s'adressant à la première fileuse,,,,,And then he went up to the first spinster 
il lui dit:  D'où vous vient ce large pied?,,,,,"and said, How is it that you have such a broad flat foot?"
"D'avoir fait tourner le rouet, répondit-elle, d'avoir fait tourner le rouet.",,,,,"With treading, answered she, with treading."
A la seconde:  ,,,,,"Then he went up to the second and said,"
D'où vous vient cette lèvre pendante?,,,,,How is it that you have such a great hanging lip?
"D'avoir mouillé le fil, d'avoir mouillé le fil.",,,,,"With licking, answered she, with licking."
Et à la troisième:,,,,,"Then he asked the third,"
D'où vous vient ce large pouce?,,,,,How is it that you have such a broad thumb?
"D'avoir tordu le fil, d'avoir tordu le fil.",,,,,"With twisting thread, answered she, with twisting thread."
"Le prince, effrayé de cette perspective, déclara que jamais dorénavant sa belle épouse ne toucherait à un rouet,",,,,,Then the bridegroom said that from that time forward his beautiful bride should never touch a spinning-wheel.
et ainsi elle fut délivrée de cette odieuse occupation.,,,,,And so she escaped that tiresome flax-spinning.
