orth,translation
MAINTENANT TEMPS DEMAIN JEUDI DOUZE FÉVRIER,et maintenant les prévisions météo pour demain jeudi 12 août
LIEU PLUIE PAR PLUIE PEUVENT INONDATION PEUVENT,"dans certains endroits, il pleut plus longtemps et abondamment des inondations locales sont à nouveau possibles"
NORD-OUEST CETTE NUIT RESTER SEC SUD-OUEST PEUVENT PLEUVOIR LIEU ORAGES EN PLUS,"dans le nord-ouest, le temps restera généralement sec cette nuit sinon il faut s'attendre à des averses parfois fortes avec localement des éclairs et du tonnerre"
PENDANT LA JOURNÉE SOUVENT PLUIE ORAGES PEUVENT PARFOIS PLEUVOIR BEAUCOUP DE PLUIE,"en journée également, des averses ou des orages parfois violents se produisent sur une grande partie du territoire et certaines régions reçoivent des quantités de pluie abondantes"
NUAGE TROU SPÉCIAL NORD-OUEST,de grands espaces nuageux se trouvent surtout dans le nord-ouest
RIVIÈRE CETTE NUIT SIX RIVIÈRE DIX-SEPT DEGRÉS,dans l'emsland cette nuit seulement neuf dans le rhin supérieur jusqu'à dix-sept degrés
DEMAIN TEMPÉRATURE IDENTIQUE À CELLE D'AUJOURD'HUI DIX-NEUF À CINQ VINGT L IX SEPT VINGT DEGRÉS,"demain, températures similaires à celles d'aujourd'hui dix-neuf à vingt-cinq degrés en lausitz jusqu'à vingt-sept degrés"
VENDREDI EST PEUVENT PLUIE FORTE PLUIE ATTENTION INONDATION PEUVENT,"vendredi, il peut pleuvoir plus longtemps et plus fort dans la moitié est du pays attention au risque de crue"
RÉGION CHANGEANT PLUIE ORAGE AUSSI WEEK-END,sinon temps variable avec des averses et des orages qui nous accompagneront également pendant le week-end
TEMPÉRATURE RESTE LA MÊME,peu de changement au niveau de la température
DEMAIN TEMPS COMMENT-APPARAÎTRE MARDI SIX VINGT OCTOBRE,"et maintenant les prévisions météo pour demain, mardi 26 octobre"
ITALIE IX BASSE PRESSION VENIR CETTE NUIT MONTAGNE NEIGE PLUIE,la dépression sur l'italie fait qu'il neige ou pleut encore dans la nuit sur les alpes
LONG TEMPS RÉGION HAUT VENIR EST VENIR SINON RÉGION ALLEMAND FORT CALME AUSSI PARTIELLEMENT AIMABLE SOLEIL,"en même temps, l'anticyclone au-dessus de la britannie continue de s'étendre vers l'est et nous offre demain un temps calme, voire agréable, sur une grande partie de l'allemagne."
JOUR MÉLANGE SOLEIL NUAGE PEUT AVOIR BROUILLARD SUD-EST SUD NORD AVERSES PEUT VENIR LE SOIR PUIS NORD-OUEST PEU NUAGEUX,"en journée, un mélange de soleil, de nuages et de brouillard dans l'est et le sud-est ainsi que sur la mer du nord quelques averses en soirée, les nuages deviennent plus denses dans le nord-ouest"
VENT SOUFFLANT LE SOIR VENT FRAIS,"dans le nord et l'est, le vent est faible à modéré ailleurs, il est généralement faible en soirée et se renforce dans le nord-ouest"
CETTE NUIT SIX DEGRÉS NORD MOINS SIX ALLGAEU RÉGION,"dans la nuit, six degrés à la mer du Nord et moins six degrés dans l'Allgäu"
TROIS RÉGION TROIS ONZE RÉGION,"en journée, trois degrés dans la région de Berchtesgaden et onze degrés dans la région du Rhin inférieur"
RÉGION NUAGE BROUILLARD ET SOLEIL,"en direction du sud-est, nuages, brouillard, parfois soleil"
DEMAIN CENTRE EUROPE MONTER RESTER AU MOINS JUSQU'À DIMANCHE SOLEIL TEMPÉRATURE MONTER,"l'anticyclone qui se situera demain sur l'est de l'europe centrale déterminera notre temps jusqu'à dimanche au moins, avec beaucoup de soleil et des températures en hausse"
MAIS RESTER SEC SEULEMENT OUEST SUD-OUEST DIMANCHE PEUT PLEUVOIR,la sécheresse se poursuit donc seulement dans l'ouest et le sud-ouest où des averses sont possibles le dimanche
CETTE NUIT RÉGION CLAIRE ALLEMAGNE IX PEUVENT VOIR SEULEMENT VENIR RÉGION NORD,"cette nuit, le ciel est clair sur une grande partie du territoire, seuls quelques fins voiles nuageux se déplacent vers l'est sur le nord et le centre du pays"
JOUR BEAUCOUP DE SOLEIL RÉGION MINCE NUAGE PEUVENT APRÈS MIDI SUD-OUEST MONTAGNE ET MONTAGNE PEUVENT NUAGE PEUVENT,"en journée, beaucoup de soleil avec ici et là quelques fins voiles nuageux dans l'après-midi, quelques nuages convectoriels se forment au-dessus des moyennes montagnes du sud-ouest et des Alpes"
VENT FAIBLE VENT MODÉRÉ,le vent est généralement faible et parfois modéré
CETTE NUIT SEPT DEGRÉS AACHEN MOINS DEUX BERG TAL IX,"cette nuit, sept degrés à aix-la-Chapelle et moins deux degrés dans les vallées alpines"
JOUR QUINZE DEGRÉS RUEGEN RÉGION CINQ VINGT RIVIÈRE,"le jour, il fait quinze degrés à Rügen et vingt-cinq degrés dans le Rhin supérieur"
SOLEIL CONTINU SAMEDI ET DIMANCHE RÉGION BEAUCOUP DE SOLEIL,temps ensoleillé samedi et dimanche dans une grande partie de l'Allemagne
OUEST SUD-OUEST PEUVENT NUAGE PARFOIS PEUVENT AVERSES ORAGE PEUVENT,"dans l'ouest et le sud-ouest, le temps est partiellement nuageux avec des averses ou des orages isolés"
LUNDI AUSSI LE PLUS SOUVENT SOLEIL SUEDWEST OUEST PEUVENT PLEUVOIR,"le lundi, le soleil brille généralement aussi - des averses isolées sont possibles dans l'extrême ouest du pays"
VENT poss-SEIN NEIGE HORAIRE IX INTEMPÉRIQUE AVERTISSEMENT ENORME,Des vents violents provoquent des congères. Le service météorologique allemand a émis des alertes aux intempéries.
CETTE NUIT PARTICULIÈREMENT IX SUD NEIGE NEIGE DEMAIN MATIN NORD-OUEST REVENIR NEIGE NEIGE PLUIE RISQUE DE VERGLAS,"Cette nuit, il a d'abord neigé, surtout dans le sud, mais vers demain, de nouvelles chutes de neige et de pluie arriveront du nord-ouest et rendront le sol dangereusement glissant."
RÉGION AUSSI GEL PLUIE AVEC GEL,"dans le nord-ouest et l'ouest, il y aura aussi temporairement de la pluie verglaçante"
SUD-EST PUIS SOIR JUSQU'AU SOIR AGRÉABLE SEC,"dans le sud-est, le temps reste partiellement agréable et généralement sec jusqu'au soir"
